Date,Open,High,Low,Close,Adj Close,Volume
1986-08-13,0.210938,0.218750,0.210938,0.210938,0.197246,18899200
1986-08-14,0.222656,0.230469,0.222656,0.222656,0.208205,4160000
1986-08-15,0.222656,0.222656,0.218750,0.218750,0.204552,4332800
1986-08-18,0.218750,0.218750,0.210938,0.210938,0.197246,2828800
1986-08-19,0.214844,0.218750,0.214844,0.214844,0.200899,2060800
1986-08-20,0.214844,0.226563,0.214844,0.214844,0.200899,684800
1986-08-21,0.222656,0.234375,0.222656,0.222656,0.208205,883200
1986-08-22,0.222656,0.230469,0.222656,0.222656,0.208205,1734400
1986-08-25,0.222656,0.222656,0.214844,0.214844,0.200899,627200
1986-08-26,0.214844,0.222656,0.214844,0.214844,0.200899,793600
1986-08-27,0.214844,0.218750,0.214844,0.214844,0.200899,2540800
1986-08-28,0.214844,0.218750,0.207031,0.207031,0.193594,1555200
1986-08-29,0.207031,0.218750,0.207031,0.207031,0.193594,1548800
1986-09-02,0.222656,0.230469,0.222656,0.222656,0.208205,1068800
1986-09-03,0.222656,0.234375,0.222656,0.222656,0.208205,403200
1986-09-04,0.250000,0.257813,0.250000,0.250000,0.233773,1804800
1986-09-05,0.250000,0.257813,0.246094,0.246094,0.230121,2137600
1986-09-08,0.246094,0.253906,0.242188,0.242188,0.226468,492800
1986-09-09,0.250000,0.261719,0.250000,0.250000,0.233773,499200
1986-09-10,0.261719,0.273438,0.261719,0.261719,0.244732,934400
1986-09-11,0.242188,0.242188,0.230469,0.230469,0.215510,1798400
1986-09-12,0.234375,0.242188,0.234375,0.234375,0.219163,1286400
1986-09-15,0.257813,0.269531,0.257813,0.257813,0.241079,998400
1986-09-16,0.269531,0.281250,0.269531,0.269531,0.252037,1254400
1986-09-17,0.289063,0.296875,0.289063,0.289063,0.270301,1356800
1986-09-18,0.289063,0.300781,0.289063,0.289063,0.270301,352000
1986-09-19,0.289063,0.300781,0.289063,0.289063,0.270301,1024000
1986-09-22,0.289063,0.289063,0.277344,0.277344,0.259343,780800
1986-09-23,0.277344,0.281250,0.269531,0.269531,0.252037,1798400
1986-09-24,0.273438,0.285156,0.273438,0.273438,0.255690,1312000
1986-09-25,0.273438,0.281250,0.265625,0.265625,0.248384,1657600
1986-09-26,0.265625,0.277344,0.265625,0.265625,0.248384,768000
1986-09-29,0.269531,0.277344,0.269531,0.269531,0.252037,473600
1986-09-30,0.269531,0.285156,0.269531,0.269531,0.252037,192000
1986-10-01,0.269531,0.285156,0.269531,0.269531,0.252037,371200
1986-10-02,0.269531,0.285156,0.269531,0.269531,0.252037,224000
1986-10-03,0.269531,0.281250,0.269531,0.269531,0.252037,44800
