Date,Open,High,Low,Close,Adj Close,Volume
2017-10-13,88.949997,89.669998,88.510002,89.059998,89.059998,2230900
2017-10-16,89.480003,89.629997,88.209999,88.830002,88.830002,2007700
2017-10-17,88.669998,89.059998,88.370003,88.940002,88.940002,1247300
2017-10-18,89.209999,89.260002,88.279999,89.000000,89.000000,1129500
2017-10-19,88.320000,88.830002,87.379997,88.800003,88.800003,1577500
2017-10-20,89.610001,89.930000,88.760002,88.930000,88.930000,1778500
2017-10-23,89.430000,89.669998,88.559998,88.769997,88.769997,2031000
2017-10-24,88.769997,90.790001,88.379997,90.290001,90.290001,2671600
2017-10-25,89.660004,90.449997,89.230003,89.860001,89.860001,2039600
2017-10-26,90.260002,90.959999,89.860001,90.559998,90.559998,1239700
2017-10-27,90.769997,91.379997,89.959999,91.209999,91.209999,1625000
2017-10-30,91.349998,91.959999,90.889999,91.320000,91.320000,1248000
2017-10-31,91.470001,91.739998,90.750000,91.300003,91.300003,1530500
2017-11-01,91.849998,92.110001,90.589996,90.989998,90.989998,2374000
2017-11-02,90.849998,91.470001,90.260002,90.790001,90.790001,1448200
2017-11-03,90.970001,91.830002,90.190002,91.809998,91.809998,1367400
2017-11-06,92.419998,92.959999,91.650002,92.279999,92.279999,1531300
2017-11-07,92.080002,92.570000,91.699997,91.900002,91.900002,1416500
2017-11-08,91.900002,92.449997,91.040001,92.000000,92.000000,1617600
2017-11-09,91.669998,91.690002,87.980003,89.699997,89.699997,3143600
2017-11-10,89.540001,90.029999,88.879997,89.589996,89.589996,2636000
2017-11-13,89.360001,89.980003,89.000000,89.620003,89.620003,506733
