Date,Open,High,Low,Close,Adj Close,Volume
1985-06-28,0.500000,0.510417,0.500000,0.500000,0.443194,14728800
1985-07-01,0.500000,0.510417,0.500000,0.500000,0.443194,6511200
1985-07-02,0.520833,0.531250,0.520833,0.520833,0.461661,2380800
1985-07-03,0.520833,0.531250,0.520833,0.520833,0.461661,1317600
1985-07-05,0.531250,0.541667,0.531250,0.531250,0.470894,1128000
1985-07-08,0.520833,0.520833,0.510417,0.510417,0.452428,1692000
1985-07-09,0.510417,0.510417,0.500000,0.500000,0.443194,976800
1985-07-10,0.510417,0.520833,0.510417,0.510417,0.452428,837600
1985-07-11,0.520833,0.531250,0.520833,0.520833,0.461661,1188000
1985-07-12,0.520833,0.531250,0.520833,0.520833,0.461661,556800
1985-07-15,0.520833,0.541667,0.520833,0.520833,0.461661,372000
1985-07-16,0.562500,0.572917,0.562500,0.562500,0.498594,2049600
1985-07-17,0.583333,0.593750,0.583333,0.583333,0.517060,1159200
1985-07-18,0.572917,0.572917,0.562500,0.562500,0.498594,835200
1985-07-19,0.562500,0.572917,0.562500,0.562500,0.498594,597600
1985-07-22,0.562500,0.572917,0.562500,0.562500,0.498594,1984800
1985-07-23,0.572917,0.583333,0.572917,0.572917,0.507827,616800
1985-07-24,0.572917,0.583333,0.572917,0.572917,0.507827,607200
1985-07-25,0.593750,0.614583,0.593750,0.593750,0.526294,1356000
1985-07-26,0.604167,0.614583,0.604167,0.604167,0.535527,398400
1985-07-29,0.614583,0.625000,0.614583,0.614583,0.544760,499200
1985-07-30,0.614583,0.625000,0.604167,0.604167,0.535527,372000
1985-07-31,0.625000,0.635417,0.625000,0.625000,0.553993,1070400
1985-08-01,0.645833,0.656250,0.645833,0.645833,0.572460,2469600
1985-08-02,0.661458,0.697917,0.661458,0.661458,0.586309,2112000
1985-08-05,0.656250,0.656250,0.645833,0.645833,0.572460,1144800
1985-08-06,0.635417,0.635417,0.625000,0.625000,0.553993,998400
1985-08-07,0.614583,0.614583,0.604167,0.604167,0.535527,688800
1985-08-08,0.635417,0.645833,0.635417,0.635417,0.563226,266400
1985-08-09,0.645833,0.656250,0.645833,0.645833,0.572460,374400
1985-08-12,0.645833,0.656250,0.645833,0.645833,0.572460,290400
1985-08-13,0.656250,0.661458,0.656250,0.656250,0.581693,240000
1985-08-14,0.661458,0.687500,0.661458,0.661458,0.586309,585600
1985-08-15,0.661458,0.687500,0.661458,0.661458,0.586309,350400
1985-08-16,0.661458,0.677083,0.656250,0.656250,0.581693,196800
1985-08-19,0.656250,0.656250,0.635417,0.635417,0.563226,492000
1985-08-20,0.614583,0.614583,0.604167,0.604167,0.535527,1344000
1985-08-21,0.604167,0.614583,0.604167,0.604167,0.535527,256800
1985-08-22,0.604167,0.625000,0.604167,0.604167,0.535527,36000
1985-08-23,0.656250,0.661458,0.656250,0.656250,0.581693,1368000
1985-08-26,0.656250,0.661458,0.656250,0.656250,0.581693,499200
1985-08-27,0.656250,0.677083,0.656250,0.656250,0.581693,1132800
1985-08-28,0.661458,0.687500,0.661458,0.661458,0.586309,376800
1985-08-29,0.687500,0.697917,0.687500,0.687500,0.609393,324000
1985-08-30,0.687500,0.708333,0.687500,0.687500,0.609393,367200
1985-09-03,0.687500,0.697917,0.687500,0.687500,0.609393,604800
1985-09-04,0.687500,0.697917,0.677083,0.677083,0.600159,2620800
1985-09-05,0.677083,0.677083,0.661458,0.661458,0.586309,324000
1985-09-06,0.687500,0.708333,0.687500,0.687500,0.609393,2625600
1985-09-09,0.687500,0.697917,0.687500,0.687500,0.609393,160800
1985-09-10,0.687500,0.697917,0.677083,0.677083,0.600159,636000
1985-09-11,0.677083,0.687500,0.661458,0.661458,0.586309,1089600
1985-09-12,0.677083,0.687500,0.677083,0.677083,0.600159,24000
1985-09-13,0.677083,0.687500,0.677083,0.677083,0.600159,456000
1985-09-16,0.677083,0.687500,0.677083,0.677083,0.600159,88800
1985-09-17,0.645833,0.645833,0.625000,0.625000,0.553993,1159200
1985-09-18,0.661458,0.677083,0.661458,0.661458,0.586309,936000
1985-09-19,0.677083,0.687500,0.677083,0.677083,0.600159,1315200
1985-09-20,0.677083,0.687500,0.677083,0.677083,0.600159,132000
1985-09-23,0.677083,0.697917,0.677083,0.677083,0.600159,588000
1985-09-24,0.677083,0.687500,0.677083,0.677083,0.600159,148800
1985-09-25,0.677083,0.687500,0.677083,0.677083,0.600159,76800
1985-09-26,0.656250,0.656250,0.645833,0.645833,0.572460,614400
1985-09-30,0.593730,0.614583,0.593730,0.604167,0.535527,379200
1985-10-01,0.604167,0.614583,0.604167,0.604167,0.535527,650400
1985-10-02,0.625000,0.635417,0.625000,0.625000,0.553993,631200
1985-10-03,0.625000,0.625000,0.614583,0.614583,0.544760,72000
1985-10-04,0.614583,0.625000,0.604167,0.604167,0.535527,144000
1985-10-07,0.583333,0.583333,0.572917,0.572917,0.507827,787200
