Date,Open,High,Low,Close,Adj Close,Volume
1996-02-28,2.250000,2.375000,2.125000,2.281250,2.281250,3051600
1996-02-29,2.312500,2.312500,2.250000,2.312500,2.312500,453200
1996-03-01,2.312500,2.375000,2.281250,2.312500,2.312500,559200
1996-03-04,2.281250,2.312500,2.250000,2.250000,2.250000,845200
1996-03-05,2.250000,2.281250,2.187500,2.281250,2.281250,1187200
1996-03-06,2.187500,2.281250,2.187500,2.187500,2.187500,355600
1996-03-07,2.250000,2.250000,2.187500,2.218750,2.218750,125200
1996-03-08,2.250000,2.250000,2.093750,2.093750,2.093750,177600
1996-03-11,2.093750,2.156250,2.093750,2.156250,2.156250,164400
1996-03-12,2.156250,2.156250,2.093750,2.156250,2.156250,102800
1996-03-13,2.156250,2.187500,2.093750,2.093750,2.093750,156400
1996-03-14,2.187500,2.187500,2.093750,2.093750,2.093750,105200
1996-03-15,2.187500,2.187500,2.093750,2.187500,2.187500,203200
1996-03-18,2.187500,2.187500,2.093750,2.093750,2.093750,137600
1996-03-19,2.125000,2.187500,2.093750,2.093750,2.093750,116400
1996-03-20,2.093750,2.187500,2.093750,2.093750,2.093750,46800
1996-03-21,2.093750,2.187500,2.093750,2.093750,2.093750,49600
1996-03-22,2.156250,2.187500,2.093750,2.093750,2.093750,71600
1996-03-25,2.093750,2.187500,2.093750,2.093750,2.093750,112400
1996-03-26,2.093750,2.187500,2.093750,2.125000,2.125000,75600
1996-03-27,2.093750,2.187500,2.093750,2.187500,2.187500,39200
1996-03-28,2.093750,2.187500,2.093750,2.187500,2.187500,46800
1996-03-29,2.187500,2.187500,2.093750,2.093750,2.093750,36800
1996-04-01,2.187500,2.250000,2.093750,2.156250,2.156250,178000
1996-04-02,2.250000,2.250000,2.156250,2.187500,2.187500,525200
1996-04-03,2.250000,2.250000,2.187500,2.250000,2.250000,120400
1996-04-04,2.250000,2.250000,2.187500,2.218750,2.218750,130800
1996-04-08,2.218750,2.234375,2.218750,2.218750,2.218750,72800
1996-04-09,2.234375,2.234375,2.187500,2.187500,2.187500,344800
1996-04-10,2.187500,2.218750,2.187500,2.218750,2.218750,445200
1996-04-11,2.187500,2.234375,2.187500,2.187500,2.187500,54400
1996-04-12,2.187500,2.234375,2.187500,2.187500,2.187500,76000
1996-04-15,2.234375,2.234375,2.187500,2.187500,2.187500,72800
1996-04-16,2.234375,2.234375,2.187500,2.218750,2.218750,254400
1996-04-17,2.187500,2.218750,2.156250,2.156250,2.156250,180800
1996-04-18,2.156250,2.187500,2.156250,2.187500,2.187500,134000
1996-04-19,2.156250,2.218750,2.156250,2.156250,2.156250,47600
1996-04-22,2.218750,2.218750,2.156250,2.187500,2.187500,117200
1996-04-23,2.156250,2.218750,2.156250,2.156250,2.156250,99600
1996-04-24,2.156250,2.218750,2.156250,2.156250,2.156250,50800
1996-04-25,2.218750,2.218750,2.156250,2.218750,2.218750,188800
1996-04-26,2.156250,2.218750,2.156250,2.156250,2.156250,92800
1996-04-29,2.156250,2.218750,2.156250,2.218750,2.218750,501600
1996-04-30,2.218750,2.312500,2.187500,2.218750,2.218750,150800
1996-05-01,2.312500,2.312500,2.218750,2.250000,2.250000,39200
1996-05-02,2.250000,2.312500,2.218750,2.312500,2.312500,28800
1996-05-03,2.312500,2.312500,2.218750,2.312500,2.312500,27600
1996-05-06,2.312500,2.468750,2.250000,2.375000,2.375000,240000
1996-05-07,2.437500,2.531250,2.375000,2.531250,2.531250,218800
1996-05-08,2.531250,2.750000,2.437500,2.750000,2.750000,277600
1996-05-09,2.781250,2.937500,2.687500,2.781250,2.781250,772000
1996-05-10,2.781250,2.781250,2.687500,2.687500,2.687500,185200
1996-05-13,2.718750,2.781250,2.687500,2.687500,2.687500,137200
1996-05-14,2.781250,2.781250,2.656250,2.687500,2.687500,128400
1996-05-15,2.656250,2.750000,2.531250,2.625000,2.625000,228000
1996-05-16,2.625000,2.625000,2.562500,2.625000,2.625000,119200
1996-05-17,2.562500,2.625000,2.375000,2.531250,2.531250,264400
1996-05-20,2.500000,2.500000,2.375000,2.375000,2.375000,81200
1996-05-21,2.468750,2.468750,2.375000,2.468750,2.468750,128000
1996-05-22,2.468750,2.718750,2.375000,2.562500,2.562500,548400
1996-05-23,2.562500,2.562500,2.500000,2.500000,2.500000,37600
1996-05-24,2.562500,2.593750,2.500000,2.500000,2.500000,132400
1996-05-28,2.593750,2.593750,2.500000,2.515625,2.515625,145200
1996-05-29,2.500000,2.593750,2.468750,2.468750,2.468750,114800
1996-05-30,2.593750,2.593750,2.468750,2.468750,2.468750,41200
1996-05-31,2.468750,2.593750,2.468750,2.593750,2.593750,49200
1996-06-03,2.468750,2.593750,2.468750,2.468750,2.468750,55200
1996-06-04,2.562500,2.562500,2.468750,2.468750,2.468750,61200
1996-06-05,2.468750,2.562500,2.468750,2.531250,2.531250,101600
1996-06-06,2.531250,2.531250,2.468750,2.468750,2.468750,91200
1996-06-07,2.468750,2.531250,2.468750,2.468750,2.468750,170400
1996-06-10,2.531250,2.531250,2.468750,2.468750,2.468750,44400
1996-06-11,2.531250,2.531250,2.468750,2.484375,2.484375,41600
1996-06-12,2.468750,2.500000,2.468750,2.468750,2.468750,43600
1996-06-13,2.468750,2.531250,2.468750,2.468750,2.468750,44000
1996-06-14,2.531250,2.531250,2.468750,2.500000,2.500000,74000
1996-06-17,2.468750,2.531250,2.468750,2.531250,2.531250,20800
1996-06-18,2.531250,2.531250,2.406250,2.406250,2.406250,314000
1996-06-19,2.500000,2.500000,2.343750,2.375000,2.375000,639200
1996-06-20,2.375000,2.437500,2.375000,2.375000,2.375000,336000
1996-06-21,2.343750,2.343750,2.281250,2.281250,2.281250,302000
1996-06-24,2.281250,2.343750,2.250000,2.281250,2.281250,172000
1996-06-25,2.218750,2.312500,2.218750,2.218750,2.218750,329200
1996-06-26,2.218750,2.281250,2.218750,2.218750,2.218750,142000
1996-06-27,2.187500,2.281250,2.156250,2.156250,2.156250,72800
1996-06-28,2.156250,2.250000,2.156250,2.187500,2.187500,107200
1996-07-01,2.187500,2.250000,2.125000,2.156250,2.156250,1419600
1996-07-02,2.250000,2.250000,2.156250,2.156250,2.156250,24000
1996-07-03,2.250000,2.250000,2.125000,2.125000,2.125000,77200
1996-07-05,2.218750,2.218750,2.062500,2.062500,2.062500,45600
1996-07-08,2.062500,2.125000,1.968750,1.968750,1.968750,102400
1996-07-09,2.093750,2.093750,1.875000,1.906250,1.906250,590800
1996-07-10,1.968750,1.968750,1.781250,1.843750,1.843750,182000
1996-07-11,1.843750,1.843750,1.531250,1.656250,1.656250,224400
1996-07-12,1.687500,1.687500,1.562500,1.593750,1.593750,272000
1996-07-15,1.625000,1.625000,1.562500,1.562500,1.562500,39600
1996-07-16,1.625000,1.656250,1.562500,1.578125,1.578125,200800
1996-07-17,1.625000,1.625000,1.593750,1.593750,1.593750,34800
1996-07-18,1.625000,1.625000,1.562500,1.625000,1.625000,72000
1996-07-19,1.562500,1.593750,1.500000,1.593750,1.593750,154000
1996-07-22,1.593750,1.593750,1.500000,1.500000,1.500000,126400
1996-07-23,1.593750,1.593750,1.500000,1.593750,1.593750,135600
1996-07-24,1.500000,1.562500,1.500000,1.562500,1.562500,45600
1996-07-25,1.500000,1.562500,1.500000,1.562500,1.562500,47600
1996-07-26,1.562500,1.656250,1.500000,1.593750,1.593750,66000
1996-07-29,1.593750,1.593750,1.500000,1.500000,1.500000,64800
1996-07-30,1.500000,1.531250,1.500000,1.531250,1.531250,77600
