Date,Open,High,Low,Close,Adj Close,Volume
1999-02-04,2.145833,2.166667,1.895833,1.924467,1.924467,16788600
1999-02-05,1.929683,1.947917,1.822917,1.833333,1.833333,3053400
1999-02-08,1.854167,1.927083,1.783850,1.812500,1.812500,1548000
1999-02-09,1.822917,1.833333,1.656250,1.666667,1.666667,3501600
1999-02-10,1.708333,1.708333,1.604167,1.677083,1.677083,1597200
1999-02-11,1.708333,1.864583,1.677083,1.812500,1.812500,9979800
1999-02-12,1.812500,1.822917,1.760417,1.781250,1.781250,707400
1999-02-16,1.770833,1.770833,1.677083,1.708333,1.708333,3012600
1999-02-17,1.677083,1.760417,1.666667,1.708333,1.708333,812400
1999-02-18,1.708333,1.718750,1.625000,1.666667,1.666667,1894800
1999-02-19,1.687500,1.687500,1.635417,1.645833,1.645833,689400
1999-02-22,1.666667,1.708333,1.645833,1.708333,1.708333,618000
1999-02-23,1.697917,1.739583,1.645833,1.697917,1.697917,831600
1999-02-24,1.718750,1.718750,1.666667,1.677083,1.677083,1954200
1999-02-25,1.687500,1.687500,1.541667,1.562500,1.562500,1496400
1999-02-26,1.541667,1.583333,1.458333,1.479167,1.479167,1128600
1999-03-01,1.500000,1.500000,1.333333,1.416667,1.416667,2135400
1999-03-02,1.427083,1.427083,1.257800,1.270833,1.270833,1562400
1999-03-03,1.291667,1.291667,1.140617,1.281250,1.281250,6219000
1999-03-04,1.322917,1.343750,1.270833,1.302083,1.302083,2270400
1999-03-05,1.354167,1.375000,1.291667,1.312500,1.312500,1644000
1999-03-08,1.322917,1.322917,1.291667,1.299467,1.299467,1770600
1999-03-09,1.302083,1.333333,1.291667,1.333333,1.333333,2763600
1999-03-10,1.375000,1.531250,1.375000,1.447917,1.447917,6318000
1999-03-11,1.500000,1.500000,1.385417,1.395833,1.395833,1645200
1999-03-12,1.385417,1.406250,1.354167,1.364583,1.364583,1183200
1999-03-15,1.395833,1.395833,1.364583,1.385417,1.385417,451800
1999-03-16,1.395833,1.427083,1.375000,1.406250,1.406250,1924800
1999-03-17,1.406250,1.458333,1.385417,1.395833,1.395833,671400
1999-03-18,1.395833,1.447917,1.395833,1.447917,1.447917,1360800
1999-03-19,1.458333,1.468750,1.375000,1.416667,1.416667,1739400
1999-03-22,1.416667,1.572917,1.406250,1.541667,1.541667,4242000
