Date,Open,High,Low,Close,Adj Close,Volume
1984-12-03,5.250000,5.750000,4.750000,5.500000,1.330204,32760000
1984-12-04,5.500000,5.500000,5.250000,5.375000,1.299973,4804000
1984-12-05,5.375000,5.437500,5.250000,5.250000,1.269741,4164000
1984-12-06,5.312500,5.375000,5.250000,5.312500,1.284857,1426400
1984-12-07,5.375000,5.625000,5.312500,5.562500,1.345320,3624000
1984-12-10,5.812500,5.875000,5.687500,5.750000,1.390668,1787000
1984-12-11,5.812500,5.875000,5.687500,5.750000,1.390668,1099400
1984-12-12,5.687500,5.750000,5.687500,5.687500,1.375553,337400
1984-12-13,5.750000,5.937500,5.687500,5.812500,1.405784,2308000
1984-12-14,5.937500,6.062500,5.937500,6.062500,1.466248,2052000
1984-12-17,6.125000,6.125000,6.000000,6.062500,1.466248,364000
1984-12-18,6.062500,6.062500,5.937500,6.062500,1.466248,537000
1984-12-19,5.937500,6.000000,5.875000,5.875000,1.420900,324400
1984-12-20,5.812500,5.875000,5.812500,5.812500,1.405784,208200
1984-12-21,5.812500,5.875000,5.750000,5.812500,1.405784,242800
1984-12-24,5.812500,5.812500,5.750000,5.750000,1.390668,137000
1984-12-26,5.750000,5.812500,5.750000,5.750000,1.390668,70000
1984-12-27,5.812500,5.875000,5.812500,5.812500,1.405784,184600
1984-12-28,6.000000,6.062500,6.000000,6.000000,1.451132,126800
1984-12-31,6.062500,6.187500,6.062500,6.187500,1.496481,455200
1985-01-02,6.062500,6.187500,6.062500,6.062500,1.466248,112200
1985-01-03,6.062500,6.125000,6.000000,6.000000,1.451132,236800
1985-01-04,6.062500,6.125000,6.062500,6.062500,1.466248,137800
1985-01-07,6.062500,6.250000,6.062500,6.250000,1.511596,646600
1985-01-08,6.375000,6.437500,6.375000,6.375000,1.541828,464200
1985-01-09,6.562500,6.687500,6.562500,6.625000,1.602292,927800
1985-01-10,6.812500,6.937500,6.687500,6.875000,1.662756,1016800
1985-01-11,6.812500,6.812500,6.625000,6.625000,1.602292,659000
1985-01-14,6.625000,6.625000,6.562500,6.625000,1.602292,257800
