Date,Open,High,Low,Close,Adj Close,Volume
1996-06-28,3.208333,4.062500,3.166667,4.000000,4.000000,32796000
1996-07-01,3.916667,4.083333,3.416667,4.083333,4.083333,6322800
1996-07-02,4.083333,4.083333,3.625000,3.625000,3.625000,4495200
1996-07-03,3.583333,3.625000,3.250000,3.375000,3.375000,3990000
1996-07-05,3.312500,3.375000,3.083333,3.229167,3.229167,1314600
1996-07-08,3.208333,3.250000,3.125000,3.145833,3.145833,1791000
1996-07-09,3.208333,3.229167,2.937500,2.979167,2.979167,1761600
1996-07-10,2.937500,2.958333,2.812500,2.854167,2.854167,1659600
1996-07-11,2.812500,2.854167,2.666667,2.666667,2.666667,1023600
1996-07-12,2.750000,2.895833,2.666667,2.895833,2.895833,1083000
1996-07-15,2.895833,2.895833,2.500000,2.541667,2.541667,1161600
1996-07-16,2.500000,2.541667,2.208333,2.520833,2.520833,1831200
1996-07-17,2.625000,2.916667,2.625000,2.750000,2.750000,1265400
1996-07-18,2.791667,3.333333,2.750000,3.125000,3.125000,1325400
1996-07-19,3.166667,3.166667,2.979167,3.041667,3.041667,409800
1996-07-22,3.041667,3.041667,2.875000,2.916667,2.916667,255000
1996-07-23,2.958333,3.000000,2.375000,2.416667,2.416667,2223000
1996-07-24,2.375000,2.562500,2.270833,2.479167,2.479167,1270800
1996-07-25,2.541667,2.625000,2.520833,2.625000,2.625000,738000
1996-07-26,2.666667,2.750000,2.583333,2.750000,2.750000,391800
1996-07-29,2.708333,2.770833,2.541667,2.583333,2.583333,216600
1996-07-30,2.604167,2.645833,2.541667,2.583333,2.583333,292800
1996-07-31,2.583333,2.666667,2.541667,2.666667,2.666667,154200
1996-08-01,2.666667,3.041667,2.604167,3.041667,3.041667,804000
1996-08-02,3.208333,3.791667,3.208333,3.729167,3.729167,3110400
1996-08-05,3.833333,4.041667,3.812500,3.958333,3.958333,1887600
1996-08-06,3.916667,3.958333,3.625000,3.666667,3.666667,867000
1996-08-07,3.625000,3.750000,3.625000,3.666667,3.666667,555600
1996-08-08,3.708333,3.958333,3.708333,3.854167,3.854167,662400
