Date,Open,High,Low,Close,Adj Close,Volume
1980-11-03,1.173611,1.173611,1.145833,1.173611,0.420142,1486800
1980-11-05,1.184028,1.260417,1.184028,1.184028,0.423872,2736000
1980-11-06,1.184028,1.184028,1.145833,1.159722,0.415170,871200
1980-11-07,1.156250,1.156250,1.142361,1.152778,0.412685,662400
1980-11-10,1.152778,1.163194,1.152778,1.156250,0.413928,1087200
1980-11-11,1.163194,1.211806,1.163194,1.194444,0.427601,2221200
1980-11-12,1.201389,1.250000,1.201389,1.236111,0.442517,2869200
1980-11-13,1.243056,1.267361,1.243056,1.267361,0.453704,2026800
1980-11-14,1.267361,1.281250,1.250000,1.263889,0.452461,2088000
1980-11-17,1.253472,1.253472,1.246528,1.253472,0.448732,2599200
1980-11-18,1.253472,1.288194,1.250000,1.274306,0.456190,2901600
1980-11-19,1.274306,1.291667,1.270833,1.274306,0.456190,5814000
1980-11-20,1.274306,1.277778,1.250000,1.253472,0.448732,1476000
1980-11-21,1.253472,1.263889,1.253472,1.263889,0.452461,5025600
1980-11-24,1.263889,1.263889,1.243056,1.260417,0.451218,3434400
1980-11-25,1.260417,1.267361,1.250000,1.263889,0.452461,2376000
1980-11-26,1.263889,1.263889,1.253472,1.256944,0.449975,2937600
1980-11-28,1.260417,1.263889,1.260417,1.263889,0.452461,1544400
1980-12-01,1.263889,1.263889,1.243056,1.253472,0.448732,4197600
1980-12-02,1.250000,1.250000,1.225694,1.236111,0.442517,2178000
1980-12-03,1.236111,1.250000,1.222222,1.246528,0.446246,2055600
1980-12-04,1.246528,1.263889,1.246528,1.260417,0.451218,2714400
1980-12-05,1.253472,1.253472,1.229167,1.236111,0.442517,2602800
1980-12-08,1.229167,1.229167,1.187500,1.211806,0.433816,2916000
1980-12-09,1.211806,1.222222,1.194444,1.218750,0.436302,2455200
1980-12-10,1.218750,1.243056,1.218750,1.218750,0.436302,3308400
1980-12-11,1.201389,1.201389,1.159722,1.170139,0.418900,3258000
1980-12-12,1.170139,1.201389,1.166667,1.194444,0.427601,1926000
1980-12-15,1.208333,1.222222,1.208333,1.222222,0.437545,3794400
1980-12-16,1.222222,1.222222,1.194444,1.204861,0.431330,20577600
1980-12-17,1.204861,1.222222,1.197917,1.218750,0.436302,1976400
1980-12-18,1.222222,1.260417,1.222222,1.243056,0.445003,2988000
1980-12-19,1.243056,1.256944,1.239583,1.246528,0.446246,687600
1980-12-22,1.256944,1.277778,1.256944,1.274306,0.456190,1677600
1980-12-23,1.277778,1.305556,1.277778,1.302083,0.466134,2552400
1980-12-24,1.302083,1.350694,1.298611,1.343750,0.481051,2602800
1980-12-26,1.343750,1.371528,1.326389,1.347222,0.482294,1198800
1980-12-29,1.347222,1.364583,1.315972,1.315972,0.471107,1886400
1980-12-30,1.315972,1.319444,1.295139,1.319444,0.472350,889200
1980-12-31,1.319444,1.326389,1.309028,1.326389,0.474836,1584000
1981-01-02,1.326389,1.343750,1.322917,1.329861,0.476079,1087200
1981-01-05,1.329861,1.357639,1.319444,1.354167,0.484780,2239200
1981-01-06,1.354167,1.381944,1.354167,1.361111,0.487266,4129200
1981-01-07,1.361111,1.361111,1.250000,1.333333,0.477322,8031600
1981-01-08,1.333333,1.354167,1.315972,1.315972,0.471107,5137200
1981-01-09,1.315972,1.336806,1.291667,1.298611,0.464892,5760000
1981-01-12,1.302083,1.326389,1.302083,1.309028,0.468621,6613200
1981-01-13,1.305556,1.305556,1.288194,1.298611,0.464892,4748400
1981-01-14,1.298611,1.309028,1.295139,1.295139,0.463649,2764800
1981-01-15,1.298611,1.312500,1.298611,1.312500,0.469863,1634400
1981-01-16,1.322917,1.350694,1.322917,1.343750,0.481051,2995200
1981-01-19,1.361111,1.385417,1.361111,1.381944,0.494724,3621600
1981-01-20,1.381944,1.430556,1.378472,1.385417,0.495967,4039200
1981-01-21,1.385417,1.395833,1.364583,1.392361,0.498453,4212000
1981-01-22,1.392361,1.395833,1.371528,1.381944,0.494724,1519200
1981-01-23,1.381944,1.399306,1.371528,1.378472,0.493481,2563200
1981-01-26,1.371528,1.371528,1.361111,1.361111,0.487266,1994400
1981-01-27,1.361111,1.395833,1.361111,1.395833,0.499696,1854000
1981-01-28,1.395833,1.423611,1.392361,1.416667,0.507155,1807200
1981-01-29,1.416667,1.427083,1.406250,1.423611,0.509641,1771200
1981-01-30,1.430556,1.472222,1.430556,1.458333,0.522071,5742000
1981-02-02,1.451389,1.451389,1.402778,1.416667,0.507155,3632400
1981-02-03,1.416667,1.427083,1.409722,1.427083,0.510884,4492800
1981-02-04,1.427083,1.454861,1.420139,1.444444,0.517099,7491600
1981-02-05,1.444444,1.447917,1.430556,1.430556,0.512126,4186800
1981-02-06,1.430556,1.461806,1.427083,1.437500,0.514613,9828000
1981-02-09,1.437500,1.437500,1.378472,1.381944,0.494724,1897200
1981-02-10,1.381944,1.392361,1.368056,1.381944,0.494724,2811600
1981-02-11,1.381944,1.385417,1.340278,1.350694,0.483537,2217600
1981-02-12,1.333333,1.333333,1.270833,1.277778,0.457433,3286800
1981-02-13,1.277778,1.295139,1.236111,1.260417,0.451218,3070800
