Date,Open,High,Low,Close,Adj Close,Volume
2003-12-09,1.500625,2.334375,1.500000,2.121250,2.085369,89640000
2003-12-10,2.140625,2.156250,1.860000,2.031875,1.997506,27417600
2003-12-11,2.021875,2.125000,1.950000,2.106250,2.070623,12297600
2003-12-12,2.106250,2.505625,2.046875,2.455625,2.414088,21193600
2003-12-15,2.604375,2.690625,2.102500,2.156250,2.119777,21692800
2003-12-16,2.162500,2.162500,1.951250,2.066875,2.031914,14164800
2003-12-17,2.093750,2.165625,1.969375,2.003125,1.969242,9542400
2003-12-18,2.002500,2.068750,1.860625,1.881250,1.849429,6592000
2003-12-19,1.855625,1.862500,1.749375,1.781250,1.751120,11424000
2003-12-22,1.793750,2.046875,1.793750,2.024375,1.990133,8024000
2003-12-23,1.999375,2.168750,1.943750,2.036875,2.002421,8358400
2003-12-24,2.043750,2.113125,2.006875,2.061875,2.026999,1632000
2003-12-26,2.071250,2.181250,2.062500,2.118750,2.082911,3736000
2003-12-29,2.151250,2.151875,1.969375,2.011250,1.977230,8683200
2003-12-30,2.025000,2.115625,2.000000,2.058750,2.023926,3929600
2003-12-31,2.062500,2.131250,2.025000,2.125625,2.089670,2305600
2004-01-02,2.116875,2.463125,2.113750,2.375000,2.334827,8720000
2004-01-05,2.396250,2.602500,2.358750,2.451250,2.409787,5232000
2004-01-06,2.473125,2.489375,2.250625,2.337500,2.297961,3886400
2004-01-07,2.361875,2.403125,2.285000,2.362500,2.322538,1838400
2004-01-08,2.335000,2.387500,2.225000,2.293125,2.254337,3619200
2004-01-09,2.266875,2.301875,2.185000,2.201875,2.164630,2048000
2004-01-12,2.234375,2.280000,2.094375,2.140625,2.104416,2732800
2004-01-13,2.173750,2.230000,2.081250,2.166875,2.130222,4089600
2004-01-14,2.218750,2.268750,2.175000,2.198125,2.160944,2995200
2004-01-15,2.228125,2.256250,2.156250,2.168750,2.132066,1569600
2004-01-16,2.187500,2.218750,2.078750,2.127500,2.091514,1099200
2004-01-20,2.171875,2.250000,2.159375,2.186875,2.149884,4126400
2004-01-21,2.218125,2.218125,2.033750,2.061875,2.026999,6716800
2004-01-22,2.119375,2.125000,1.987500,2.020625,1.986446,2944000
2004-01-23,2.051875,2.096250,1.990625,2.031250,1.996891,1091200
2004-01-26,2.031250,2.093750,2.000000,2.073750,2.038673,1606400
2004-01-27,2.087500,2.087500,1.981250,1.991875,1.958183,1531200
2004-01-28,2.000000,2.003125,1.768750,1.792500,1.762180,6846400
2004-01-29,1.837500,1.871875,1.753125,1.818125,1.787371,2633600
2004-01-30,1.800000,1.818125,1.756250,1.812500,1.781842,1446400
2004-02-02,1.781250,1.825000,1.762500,1.810625,1.779998,1564800
2004-02-03,1.781250,1.812500,1.693750,1.768750,1.738832,2761600
2004-02-04,1.775000,1.778125,1.694375,1.709375,1.680461,1526400
2004-02-05,1.711875,1.718125,1.546875,1.632500,1.604887,10072000
2004-02-06,1.671875,1.671875,1.596875,1.643750,1.615946,6715200
2004-02-09,1.668750,1.855625,1.665625,1.786250,1.756036,7320000
2004-02-10,1.808750,1.812500,1.766250,1.781250,1.751120,1760000
2004-02-11,1.811250,1.842500,1.781250,1.812500,1.781842,1041600
2004-02-12,1.794375,1.837500,1.766250,1.780000,1.749891,801600
2004-02-13,1.803125,1.821875,1.777500,1.777500,1.747434,1416000
2004-02-17,1.827500,1.827500,1.722500,1.801875,1.771396,1120000
2004-02-18,1.828125,2.029375,1.806250,2.016250,1.982145,5049600
2004-02-19,2.050000,2.115625,2.015000,2.036250,2.001807,3172800
2004-02-20,2.073125,2.073125,1.881250,1.942500,1.909643,2758400
2004-02-23,1.981250,2.053125,1.975000,2.048125,2.013481,2622400
2004-02-24,1.734375,1.873750,1.705625,1.768750,1.738832,10030400
2004-02-25,1.750000,1.787500,1.719375,1.755000,1.725314,2641600
2004-02-26,1.755000,1.843125,1.725000,1.831250,1.800274,1280000
2004-02-27,1.843750,1.843750,1.809375,1.825625,1.794744,988800
2004-03-01,1.825625,1.843125,1.732500,1.812500,1.781842,1947200
2004-03-02,1.815625,1.901250,1.806875,1.890625,1.858645,1580800
2004-03-03,1.891250,1.912500,1.845000,1.880000,1.848200,363200
2004-03-04,1.845625,1.909375,1.845625,1.906250,1.874006,532800
2004-03-05,1.906250,1.968750,1.793750,1.951875,1.918859,1062400
2004-03-08,1.951875,1.983125,1.937500,1.940625,1.907799,779200
2004-03-09,1.966250,1.975000,1.915625,1.940000,1.907185,556800
2004-03-10,1.925000,1.981250,1.906250,1.915625,1.883222,2448000
2004-03-11,1.895000,1.906250,1.803750,1.818750,1.787986,859200
2004-03-12,1.849375,2.026250,1.830625,1.913125,1.880765,1187200
2004-03-15,1.918750,1.946250,1.837500,1.855625,1.824237,376000
2004-03-16,1.868750,1.887500,1.833125,1.833125,1.802118,974400
2004-03-17,1.850625,1.915000,1.837500,1.895625,1.863561,374400
