Date,Open,High,Low,Close,Adj Close,Volume
1988-05-03,187.977005,187.977005,187.977005,187.977005,97.311279,0
1988-05-04,187.466995,187.466995,187.466995,187.466995,97.047256,0
1988-05-05,186.957993,186.957993,186.957993,186.957993,96.783760,0
1988-05-06,186.957993,186.957993,186.957993,186.957993,96.783760,0
1988-05-09,186.449005,186.449005,186.449005,186.449005,96.520294,0
1988-05-10,186.449005,186.449005,186.449005,186.449005,96.520294,0
1988-05-11,180.335007,180.335007,180.335007,180.335007,93.355179,0
1988-05-12,183.901001,183.901001,183.901001,183.901001,95.201225,0
1988-05-13,188.485992,188.485992,188.485992,188.485992,97.574753,0
1988-05-16,189.505005,189.505005,189.505005,189.505005,98.102295,0
1988-05-17,190.524002,190.524002,190.524002,190.524002,98.629822,0
1988-05-18,188.996002,188.996002,188.996002,188.996002,97.838814,0
1988-05-19,188.485992,188.485992,188.485992,188.485992,97.574753,0
1988-05-20,192.052002,192.052002,192.052002,192.052002,99.420799,0
1988-05-23,192.561996,192.561996,192.561996,192.561996,99.684837,0
1988-05-24,194.598999,194.598999,194.598999,194.598999,100.739326,0
1988-05-25,193.580002,193.580002,193.580002,193.580002,100.211823,0
1988-05-26,194.598999,194.598999,194.598999,194.598999,100.739326,0
1988-05-27,193.580002,193.580002,193.580002,193.580002,100.211823,0
1988-05-30,193.580002,193.580002,193.580002,193.580002,100.211823,0
1988-05-31,193.580002,193.580002,193.580002,193.580002,100.211823,0
1988-06-01,null,null,null,null,null,null
1988-06-02,null,null,null,null,null,null
1988-06-03,null,null,null,null,null,null
1988-06-06,null,null,null,null,null,null
1988-06-07,null,null,null,null,null,null
1988-06-08,null,null,null,null,null,null
1988-06-09,null,null,null,null,null,null
1988-06-10,null,null,null,null,null,null
1988-06-13,null,null,null,null,null,null
1988-06-14,null,null,null,null,null,null
1988-06-15,null,null,null,null,null,null
1988-06-16,null,null,null,null,null,null
1988-06-17,null,null,null,null,null,null
1988-06-20,null,null,null,null,null,null
1988-06-21,null,null,null,null,null,null
1988-06-22,null,null,null,null,null,null
1988-06-23,null,null,null,null,null,null
1988-06-24,null,null,null,null,null,null
1988-06-27,194.598999,194.598999,194.598999,194.598999,100.739326,0
1988-06-28,193.070999,193.070999,193.070999,193.070999,99.948341,0
1988-06-29,194.598999,194.598999,194.598999,194.598999,100.739326,0
1988-06-30,194.598999,194.598999,194.598999,194.598999,100.739326,0
1988-07-01,168.108994,168.108994,168.108994,168.108994,87.026077,0
1988-07-04,167.091003,167.091003,167.091003,167.091003,86.499084,0
1988-07-05,167.091003,167.091003,167.091003,167.091003,86.499084,0
1988-07-06,165.561996,165.561996,165.561996,165.561996,85.707542,0
1988-07-07,163.524994,163.524994,163.524994,163.524994,84.653046,0
1988-07-08,176.259995,176.259995,176.259995,176.259995,91.245689,0
1988-07-11,177.787994,177.787994,177.787994,177.787994,92.036682,0
1988-07-12,174.731995,174.731995,174.731995,174.731995,90.454636,0
1988-07-13,174.222000,174.222000,174.222000,174.222000,90.190620,0
1988-07-14,169.638000,169.638000,169.638000,169.638000,87.817612,0
1988-07-15,170.656006,170.656006,170.656006,170.656006,88.344612,0
1988-07-18,168.108994,168.108994,168.108994,168.108994,87.026077,0
1988-07-19,165.561996,165.561996,165.561996,165.561996,85.707542,0
1988-07-20,165.561996,165.561996,165.561996,165.561996,85.707542,0
1988-07-21,165.561996,165.561996,165.561996,165.561996,85.707542,0
1988-07-22,166.580994,166.580994,166.580994,166.580994,86.235069,0
1988-07-25,166.580994,166.580994,166.580994,166.580994,86.235069,0
1988-07-26,165.052994,165.052994,165.052994,165.052994,85.444069,0
1988-07-27,165.561996,165.561996,165.561996,165.561996,85.707542,0
1988-07-28,165.052994,165.052994,165.052994,165.052994,85.444069,0
1988-07-29,165.561996,165.561996,165.561996,165.561996,85.707542,0
1988-08-01,166.580994,166.580994,166.580994,166.580994,86.235069,0
1988-08-02,166.072006,166.072006,166.072006,166.072006,85.971573,0
1988-08-03,166.580994,166.580994,166.580994,166.580994,86.235069,0
1988-08-04,166.580994,166.580994,166.580994,166.580994,86.235069,0
1988-08-05,168.108994,168.108994,168.108994,168.108994,87.026077,0
1988-08-08,170.147003,170.147003,170.147003,170.147003,88.081093,0
1988-08-09,168.619003,168.619003,168.619003,168.619003,87.290123,0
1988-08-10,166.072006,166.072006,166.072006,166.072006,85.971573,0
1988-08-11,163.524994,163.524994,163.524994,163.524994,84.653046,0
1988-08-12,165.561996,165.561996,165.561996,165.561996,85.707542,0
1988-08-15,164.033997,164.033997,164.033997,164.033997,84.916550,0
1988-08-16,164.033997,164.033997,164.033997,164.033997,84.916550,0
1988-08-17,163.524994,163.524994,163.524994,163.524994,84.653046,0
1988-08-18,163.014999,163.014999,163.014999,163.014999,84.389015,0
1988-08-19,163.014999,163.014999,163.014999,163.014999,84.389015,0
1988-08-22,161.487000,161.487000,161.487000,161.487000,83.598045,0
1988-08-23,160.468002,160.468002,160.468002,160.468002,83.070518,0
1988-08-24,160.977005,160.977005,160.977005,160.977005,83.334015,0
1988-08-25,157.410995,157.410995,157.410995,157.410995,81.487976,0
1988-08-26,156.901993,156.901993,156.901993,156.901993,81.224480,0
1988-08-29,156.901993,156.901993,156.901993,156.901993,81.224480,0
1988-08-30,155.373993,155.373993,155.373993,155.373993,80.433472,0
1988-08-31,155.882996,155.882996,155.882996,155.882996,80.696953,0
1988-09-01,154.863998,154.863998,154.863998,154.863998,80.169441,0
1988-09-02,157.410995,157.410995,157.410995,157.410995,81.487976,0
1988-09-05,159.959000,159.959000,159.959000,159.959000,82.807022,0
1988-09-06,161.487000,161.487000,161.487000,161.487000,83.598045,0
1988-09-07,161.996002,161.996002,161.996002,161.996002,83.861504,0
1988-09-08,161.487000,161.487000,161.487000,161.487000,83.598045,0
1988-09-09,160.468002,160.468002,160.468002,160.468002,83.070518,0
1988-09-12,159.449005,159.449005,159.449005,159.449005,82.542992,0
1988-09-13,159.959000,159.959000,159.959000,159.959000,82.807022,0
1988-09-14,161.487000,161.487000,161.487000,161.487000,83.598045,0
1988-09-15,160.977005,160.977005,160.977005,160.977005,83.334015,0
1988-09-16,160.977005,160.977005,160.977005,160.977005,83.334015,0
1988-09-19,156.901993,156.901993,156.901993,156.901993,81.224480,0
1988-09-20,156.901993,156.901993,156.901993,156.901993,81.224480,0
1988-09-21,156.901993,156.901993,156.901993,156.901993,81.224480,0
1988-09-22,157.410995,157.410995,157.410995,157.410995,81.487976,0
1988-09-23,159.959000,159.959000,159.959000,159.959000,82.807022,0
1988-09-26,159.959000,159.959000,159.959000,159.959000,82.807022,0
1988-09-27,160.977005,160.977005,160.977005,160.977005,83.334015,0
1988-09-28,161.996002,161.996002,161.996002,161.996002,83.861504,0
1988-09-29,164.542999,164.542999,164.542999,164.542999,85.180046,0
1988-09-30,164.542999,164.542999,164.542999,164.542999,85.180046,0
1988-10-03,163.524994,163.524994,163.524994,163.524994,84.653046,0
1988-10-04,164.033997,164.033997,164.033997,164.033997,84.916550,0
1988-10-05,165.052994,165.052994,165.052994,165.052994,85.444069,0
1988-10-06,167.091003,167.091003,167.091003,167.091003,86.499084,0
1988-10-07,167.600006,167.600006,167.600006,167.600006,86.762581,0
1988-10-10,168.619003,168.619003,168.619003,168.619003,87.290123,0
1988-10-11,168.108994,168.108994,168.108994,168.108994,87.026077,0
1988-10-12,166.580994,166.580994,166.580994,166.580994,86.235069,0
1988-10-13,168.108994,168.108994,168.108994,168.108994,87.026077,0
1988-10-14,169.128006,169.128006,169.128006,169.128006,87.553596,0
1988-10-17,173.712997,173.712997,173.712997,173.712997,89.927147,0
1988-10-18,174.731995,174.731995,174.731995,174.731995,90.454636,0
1988-10-19,175.240997,175.240997,175.240997,175.240997,90.718140,0
1988-10-20,175.240997,175.240997,175.240997,175.240997,90.718140,0
1988-10-21,175.751007,175.751007,175.751007,175.751007,90.982162,0
1988-10-24,176.259995,176.259995,176.259995,176.259995,91.245689,0
1988-10-25,175.240997,175.240997,175.240997,175.240997,90.718140,0
1988-10-26,175.240997,175.240997,175.240997,175.240997,90.718140,0
1988-10-27,174.731995,174.731995,174.731995,174.731995,90.454636,0
1988-10-28,175.240997,175.240997,175.240997,175.240997,90.718140,0
1988-10-31,174.222000,174.222000,174.222000,174.222000,90.190620,0
1988-11-01,173.203995,173.203995,173.203995,173.203995,89.663635,0
1988-11-02,173.712997,173.712997,173.712997,173.712997,89.927147,0
1988-11-03,173.712997,173.712997,173.712997,173.712997,89.927147,0
1988-11-04,173.712997,173.712997,173.712997,173.712997,89.927147,0
1988-11-07,171.675003,171.675003,171.675003,171.675003,88.872116,0
1988-11-08,172.184998,172.184998,172.184998,172.184998,89.136101,0
1988-11-09,172.694000,172.694000,172.694000,172.694000,89.399605,0
1988-11-10,172.184998,172.184998,172.184998,172.184998,89.136101,0
1988-11-11,170.147003,170.147003,170.147003,170.147003,88.081093,0
1988-11-14,169.638000,169.638000,169.638000,169.638000,87.817612,0
1988-11-15,169.638000,169.638000,169.638000,169.638000,87.817612,0
1988-11-16,169.638000,169.638000,169.638000,169.638000,87.817612,0
1988-11-17,170.656006,170.656006,170.656006,170.656006,88.344612,0
1988-11-18,170.147003,170.147003,170.147003,170.147003,88.081093,0
1988-11-21,169.638000,169.638000,169.638000,169.638000,87.817612,0
1988-11-22,170.147003,170.147003,170.147003,170.147003,88.081093,0
1988-11-23,170.147003,170.147003,170.147003,170.147003,88.081093,0
1988-11-24,170.656006,170.656006,170.656006,170.656006,88.344612,0
1988-11-25,168.108994,168.108994,168.108994,168.108994,87.026077,0
1988-11-28,167.600006,167.600006,167.600006,167.600006,86.762581,0
1988-11-29,167.600006,167.600006,167.600006,167.600006,86.762581,0
1988-11-30,167.600006,167.600006,167.600006,167.600006,86.762581,0
1988-12-01,167.600006,167.600006,167.600006,167.600006,86.762581,0
1988-12-02,167.091003,167.091003,167.091003,167.091003,86.499084,0
1988-12-05,164.542999,164.542999,164.542999,164.542999,85.180046,0
1988-12-06,165.052994,165.052994,165.052994,165.052994,85.444069,0
1988-12-07,167.600006,167.600006,167.600006,167.600006,86.762581,0
1988-12-08,167.600006,167.600006,167.600006,167.600006,86.762581,0
1988-12-09,167.091003,167.091003,167.091003,167.091003,86.499084,0
1988-12-12,166.072006,166.072006,166.072006,166.072006,85.971573,0
1988-12-13,167.091003,167.091003,167.091003,167.091003,86.499084,0
1988-12-14,167.600006,167.600006,167.600006,167.600006,86.762581,0
1988-12-15,170.147003,170.147003,170.147003,170.147003,88.081093,0
1988-12-16,171.166000,171.166000,171.166000,171.166000,88.608612,0
1988-12-19,171.675003,171.675003,171.675003,171.675003,88.872116,0
1988-12-20,172.184998,172.184998,172.184998,172.184998,89.136101,0
1988-12-21,170.147003,170.147003,170.147003,170.147003,88.081093,0
1988-12-22,169.128006,169.128006,169.128006,169.128006,87.553596,0
1988-12-23,169.128006,169.128006,169.128006,169.128006,87.553596,0
1988-12-26,169.128006,169.128006,169.128006,169.128006,87.553596,0
1988-12-27,169.128006,169.128006,169.128006,169.128006,87.553596,0
1988-12-28,170.656006,170.656006,170.656006,170.656006,88.344612,0
1988-12-29,170.147003,170.147003,170.147003,170.147003,88.081093,0
1988-12-30,170.147003,170.147003,170.147003,170.147003,88.081093,0
1989-01-02,170.147003,170.147003,170.147003,170.147003,88.081093,0
1989-01-03,171.166000,171.166000,171.166000,171.166000,88.608612,0
1989-01-04,170.656006,170.656006,170.656006,170.656006,88.344612,0
1989-01-05,173.203995,173.203995,173.203995,173.203995,89.663635,0
1989-01-06,173.203995,173.203995,173.203995,173.203995,89.663635,0
1989-01-09,173.203995,173.203995,173.203995,173.203995,89.663635,0
1989-01-10,170.147003,170.147003,170.147003,170.147003,88.081093,0
1989-01-11,168.108994,168.108994,168.108994,168.108994,87.026077,0
1989-01-12,169.638000,169.638000,169.638000,169.638000,87.817612,0
1989-01-13,172.694000,172.694000,172.694000,172.694000,89.399605,0
1989-01-16,173.712997,173.712997,173.712997,173.712997,89.927147,0
1989-01-17,174.731995,174.731995,174.731995,174.731995,90.454636,0
1989-01-18,179.826004,179.826004,179.826004,179.826004,93.091713,0
1989-01-19,179.826004,179.826004,179.826004,179.826004,93.091713,0
1989-01-20,180.845001,180.845001,180.845001,180.845001,93.619217,0
1989-01-23,182.373001,182.373001,182.373001,182.373001,94.410233,0
1989-01-24,187.466995,187.466995,187.466995,187.466995,97.047256,0
1989-01-25,187.466995,187.466995,187.466995,187.466995,97.047256,0
1989-01-26,185.938995,185.938995,185.938995,185.938995,96.256248,0
1989-01-27,190.524002,190.524002,190.524002,190.524002,98.629822,0
1989-01-30,195.617996,195.617996,195.617996,195.617996,101.266876,0
1989-01-31,200.203003,200.203003,200.203003,200.203003,103.640396,0
