Date,Open,High,Low,Close,Adj Close,Volume
2008-09-18,6.400000,9.250000,6.400000,8.000000,8.000000,11602600
2008-09-19,7.625000,10.000000,7.625000,8.350000,8.350000,1527800
2008-09-22,8.440000,8.520000,7.800000,8.435000,8.435000,3424400
2008-09-23,8.255000,8.705000,8.000000,8.310000,8.310000,1825800
2008-09-24,8.110000,8.500000,7.580000,7.925000,7.925000,1491200
2008-09-25,7.905000,8.475000,7.555000,8.035000,8.035000,2778000
2008-09-26,7.750000,8.000000,7.660000,7.750000,7.750000,1332000
2008-09-29,7.515000,7.675000,6.545000,7.310000,7.310000,3593200
2008-09-30,6.850000,7.245000,6.760000,7.080000,7.080000,3073400
2008-10-01,6.580000,7.160000,6.580000,7.155000,7.155000,2559400
2008-10-02,7.065000,7.150000,6.505000,6.700000,6.700000,2456000
2008-10-03,6.665000,6.820000,6.275000,6.495000,6.495000,3083800
2008-10-06,6.185000,6.470000,5.780000,6.235000,6.235000,2274800
2008-10-07,6.375000,6.605000,5.680000,5.900000,5.900000,2858400
2008-10-08,4.390000,5.875000,4.390000,5.605000,5.605000,2802400
2008-10-09,5.745000,6.000000,5.200000,5.440000,5.440000,1761400
2008-10-10,4.505000,5.565000,4.250000,5.220000,5.220000,2022400
2008-10-13,5.025000,6.210000,5.025000,6.120000,6.120000,1231000
2008-10-14,5.170000,6.580000,5.070000,6.550000,6.550000,2461200
2008-10-15,6.745000,6.810000,5.885000,6.135000,6.135000,1320200
2008-10-16,6.250000,6.755000,5.055000,5.945000,5.945000,2503000
2008-10-17,5.880000,6.800000,5.490000,6.200000,6.200000,1276000
2008-10-20,6.175000,6.410000,6.070000,6.370000,6.370000,1134200
2008-10-21,6.170000,6.545000,6.065000,6.280000,6.280000,1563800
2008-10-22,6.025000,6.255000,5.750000,5.900000,5.900000,1920400
2008-10-23,5.960000,6.065000,5.190000,5.690000,5.690000,1868000
2008-10-24,5.015000,5.180000,4.625000,4.895000,4.895000,1790600
2008-10-27,4.880000,5.275000,4.785000,5.000000,5.000000,1894000
2008-10-28,5.190000,5.310000,4.850000,5.275000,5.275000,839200
2008-10-29,5.195000,5.985000,4.760000,5.810000,5.810000,1747200
2008-10-30,5.980000,6.300000,5.800000,6.295000,6.295000,1119600
2008-10-31,6.225000,6.775000,6.225000,6.660000,6.660000,1434200
2008-11-03,6.535000,6.660000,6.430000,6.525000,6.525000,2848200
2008-11-04,6.770000,6.940000,6.630000,6.790000,6.790000,1728600
2008-11-05,6.940000,6.940000,6.510000,6.630000,6.630000,1215800
2008-11-06,6.440000,6.850000,5.675000,5.675000,5.675000,897000
2008-11-07,5.595000,6.790000,5.595000,6.755000,6.755000,3255600
2008-11-10,6.750000,7.120000,6.640000,6.675000,6.675000,666200
2008-11-11,6.540000,6.820000,6.110000,6.570000,6.570000,711400
2008-11-12,6.495000,6.535000,5.730000,5.930000,5.930000,802000
2008-11-13,6.015000,6.495000,5.710000,6.495000,6.495000,1103000
2008-11-14,6.410000,6.960000,6.250000,6.730000,6.730000,691000
2008-11-17,6.700000,6.880000,6.280000,6.290000,6.290000,546000
2008-11-18,6.130000,6.405000,5.680000,5.930000,5.930000,889000
2008-11-19,5.855000,6.250000,5.785000,5.875000,5.875000,1273400
2008-11-20,5.840000,6.325000,5.720000,5.980000,5.980000,2633000
2008-11-21,6.060000,6.200000,5.435000,6.165000,6.165000,1883400
2008-11-24,6.235000,6.635000,6.235000,6.585000,6.585000,874000
2008-11-25,6.715000,6.715000,6.185000,6.360000,6.360000,1585800
2008-11-26,6.220000,6.820000,6.185000,6.670000,6.670000,740400
2008-11-28,6.700000,7.625000,6.685000,7.565000,7.565000,783800
2008-12-01,6.595000,7.370000,6.570000,6.585000,6.585000,1380400
2008-12-02,6.640000,6.825000,6.485000,6.550000,6.550000,1086000
2008-12-03,6.330000,6.750000,6.330000,6.750000,6.750000,879600
2008-12-04,6.575000,6.715000,6.025000,6.195000,6.195000,1500000
2008-12-05,6.270000,6.645000,5.915000,6.645000,6.645000,1368000
2008-12-08,6.760000,7.180000,6.725000,7.110000,7.110000,2114000
2008-12-09,7.230000,7.230000,6.215000,6.560000,6.560000,3537800
2008-12-10,6.560000,6.820000,6.310000,6.465000,6.465000,3992800
2008-12-11,6.340000,6.740000,5.860000,6.005000,6.005000,5460800
2008-12-12,5.895000,6.325000,5.885000,6.255000,6.255000,2127000
2008-12-15,6.245000,6.470000,6.080000,6.090000,6.090000,1023400
2008-12-16,6.090000,6.280000,5.915000,6.220000,6.220000,1723600
2008-12-17,6.070000,6.340000,5.995000,6.255000,6.255000,3902200
2008-12-18,6.645000,6.730000,6.250000,6.690000,6.690000,1360000
2008-12-19,6.660000,6.955000,6.260000,6.920000,6.920000,2043600
2008-12-22,6.995000,6.995000,6.390000,6.610000,6.610000,617800
2008-12-23,6.855000,6.855000,6.440000,6.580000,6.580000,563400
2008-12-24,6.535000,6.610000,6.520000,6.545000,6.545000,138400
2008-12-26,6.520000,6.690000,6.450000,6.565000,6.565000,403600
2008-12-29,6.640000,6.670000,6.380000,6.570000,6.570000,685000
2008-12-30,6.545000,6.675000,6.285000,6.645000,6.645000,553400
2008-12-31,6.700000,6.730000,6.425000,6.695000,6.695000,583200
2009-01-02,6.635000,6.895000,6.635000,6.890000,6.890000,994200
2009-01-05,6.845000,7.090000,6.835000,7.040000,7.040000,598400
2009-01-06,7.175000,7.260000,6.820000,7.225000,7.225000,705000
2009-01-07,7.030000,7.070000,6.850000,6.900000,6.900000,433000
2009-01-08,6.945000,7.120000,6.710000,7.120000,7.120000,1464800
2009-01-09,7.055000,7.255000,6.900000,7.205000,7.205000,969200
2009-01-12,7.215000,7.215000,7.040000,7.190000,7.190000,1245400
2009-01-13,7.365000,7.465000,7.220000,7.395000,7.395000,837800
2009-01-14,7.350000,7.400000,7.060000,7.295000,7.295000,465200
2009-01-15,7.360000,7.460000,6.915000,7.235000,7.235000,687800
2009-01-16,7.450000,7.540000,7.030000,7.260000,7.260000,502800
2009-01-20,7.260000,7.260000,6.710000,6.710000,6.710000,516600
2009-01-21,6.750000,7.230000,6.690000,7.180000,7.180000,751000
2009-01-22,7.075000,7.375000,7.015000,7.200000,7.200000,467800
2009-01-23,7.100000,7.325000,7.100000,7.195000,7.195000,546800
2009-01-26,7.160000,7.395000,6.970000,7.095000,7.095000,758600
2009-01-27,7.180000,7.290000,7.090000,7.280000,7.280000,671600
2009-01-28,7.390000,7.450000,7.140000,7.300000,7.300000,659400
2009-01-29,7.265000,7.280000,7.035000,7.070000,7.070000,318600
2009-01-30,7.155000,7.250000,6.910000,7.190000,7.190000,1207800
2009-02-02,7.125000,7.270000,6.900000,7.210000,7.210000,552200
2009-02-03,7.200000,7.200000,6.960000,7.090000,7.090000,1507600
2009-02-04,7.140000,7.225000,6.775000,6.800000,6.800000,679600
2009-02-05,6.705000,6.750000,6.555000,6.685000,6.685000,796600
2009-02-06,6.655000,6.955000,6.655000,6.880000,6.880000,620400
2009-02-09,6.830000,6.970000,6.830000,6.880000,6.880000,331200
2009-02-10,6.795000,6.920000,6.635000,6.695000,6.695000,766400
2009-02-11,6.670000,6.880000,6.670000,6.780000,6.780000,399400
2009-02-12,6.620000,6.950000,6.620000,6.905000,6.905000,339800
2009-02-13,6.950000,6.955000,6.770000,6.890000,6.890000,432000
2009-02-17,6.740000,6.900000,6.495000,6.600000,6.600000,1149800
2009-02-18,6.690000,6.755000,6.385000,6.495000,6.495000,852800
2009-02-19,6.525000,6.555000,6.290000,6.315000,6.315000,779000
2009-02-20,6.250000,6.310000,6.045000,6.130000,6.130000,433200
2009-02-23,6.135000,6.330000,6.015000,6.050000,6.050000,808800
2009-02-24,6.085000,6.390000,6.020000,6.340000,6.340000,1301800
2009-02-25,6.910000,7.290000,6.825000,7.065000,7.065000,1066400
2009-02-26,7.150000,7.375000,6.950000,7.020000,7.020000,795000
2009-02-27,6.940000,7.400000,6.940000,7.340000,7.340000,1430800
2009-03-02,7.160000,7.450000,7.160000,7.255000,7.255000,884000
2009-03-03,7.410000,7.505000,7.245000,7.405000,7.405000,809200
2009-03-04,7.475000,7.525000,7.005000,7.250000,7.250000,2074600
2009-03-05,7.090000,7.495000,7.070000,7.130000,7.130000,701800
2009-03-06,7.160000,7.290000,6.815000,6.990000,6.990000,1812400
2009-03-09,6.880000,7.040000,6.620000,6.650000,6.650000,1816000
2009-03-10,6.785000,7.055000,6.645000,7.005000,7.005000,1325600
2009-03-11,7.075000,7.165000,6.935000,7.125000,7.125000,1011400
2009-03-12,7.060000,7.625000,7.005000,7.600000,7.600000,1309400
2009-03-13,7.625000,7.720000,7.405000,7.685000,7.685000,755200
2009-03-16,7.720000,7.840000,7.555000,7.625000,7.625000,520400
2009-03-17,7.685000,7.685000,7.440000,7.625000,7.625000,610000
2009-03-18,7.525000,7.685000,7.500000,7.630000,7.630000,832400
2009-03-19,7.640000,7.675000,7.335000,7.415000,7.415000,1144400
2009-03-20,7.450000,7.460000,7.205000,7.250000,7.250000,432600
2009-03-23,7.365000,7.600000,7.200000,7.590000,7.590000,619600
2009-03-24,7.470000,7.595000,7.380000,7.420000,7.420000,293600
2009-03-25,7.405000,7.405000,7.135000,7.385000,7.385000,1420400
2009-03-26,7.385000,7.605000,7.385000,7.525000,7.525000,1320400
2009-03-27,7.460000,7.575000,7.070000,7.395000,7.395000,991800
2009-03-30,7.260000,7.345000,6.990000,7.310000,7.310000,575800
2009-03-31,7.305000,7.490000,7.235000,7.325000,7.325000,1000400
2009-04-01,7.205000,7.810000,7.205000,7.765000,7.765000,2333800
2009-04-02,7.795000,8.270000,7.795000,8.175000,8.175000,1269200
2009-04-03,8.220000,8.320000,8.010000,8.315000,8.315000,1647800
2009-04-06,8.175000,8.240000,8.065000,8.235000,8.235000,1113200
2009-04-07,8.025000,8.025000,7.615000,7.680000,7.680000,1842600
2009-04-08,7.725000,7.940000,7.625000,7.830000,7.830000,1013000
2009-04-09,7.920000,8.240000,7.920000,8.135000,8.135000,1237800
2009-04-13,8.150000,8.160000,7.950000,8.075000,8.075000,276400
2009-04-14,8.050000,8.150000,7.830000,7.855000,7.855000,682600
2009-04-15,7.755000,7.970000,7.700000,7.910000,7.910000,506600
