Date,Open,High,Low,Close,Adj Close,Volume
1995-06-21,2.250000,2.250000,2.125000,2.125000,1.514187,23654400
1995-06-22,2.125000,2.156250,1.937500,2.000000,1.425117,6014400
1995-06-23,2.000000,2.031250,2.000000,2.000000,1.425117,1333600
1995-06-26,2.031250,2.031250,2.000000,2.031250,1.447385,1188000
1995-06-27,2.031250,2.031250,1.781250,1.875000,1.336048,2978400
1995-06-28,1.875000,1.890625,1.812500,1.843750,1.313780,1576000
1995-06-29,1.843750,1.906250,1.843750,1.906250,1.358315,291200
1995-06-30,1.906250,1.906250,1.843750,1.906250,1.358315,420800
1995-07-03,1.906250,1.906250,1.843750,1.843750,1.313780,192000
1995-07-05,1.906250,1.906250,1.812500,1.812500,1.291513,2457600
1995-07-06,1.875000,1.875000,1.812500,1.812500,1.291513,1080800
1995-07-07,1.890625,1.890625,1.812500,1.812500,1.291513,108000
1995-07-10,1.812500,1.890625,1.812500,1.843750,1.313780,540800
1995-07-11,1.890625,1.890625,1.812500,1.812500,1.291513,422400
1995-07-12,1.812500,1.875000,1.812500,1.875000,1.336048,1376800
1995-07-13,1.875000,1.906250,1.812500,1.906250,1.358315,107200
1995-07-14,1.875000,1.937500,1.875000,1.937500,1.380582,200000
1995-07-17,1.921875,1.968750,1.875000,1.937500,1.380582,343200
1995-07-18,1.937500,2.031250,1.890625,1.937500,1.380582,1123200
1995-07-19,2.000000,2.000000,1.875000,1.875000,1.336048,499200
1995-07-20,1.968750,1.968750,1.812500,1.812500,1.291513,609600
1995-07-21,1.906250,1.906250,1.812500,1.843750,1.313780,911200
1995-07-24,1.906250,1.906250,1.812500,1.906250,1.358315,37600
1995-07-25,1.812500,1.906250,1.812500,1.812500,1.291513,48000
1995-07-26,1.906250,1.906250,1.812500,1.812500,1.291513,692000
1995-07-27,1.812500,1.906250,1.812500,1.812500,1.291513,48800
1995-07-28,1.812500,1.906250,1.812500,1.875000,1.336048,993600
1995-07-31,1.812500,1.906250,1.812500,1.906250,1.358315,162400
1995-08-01,1.843750,1.906250,1.843750,1.843750,1.313780,105600
1995-08-02,1.906250,1.906250,1.843750,1.906250,1.358315,351200
1995-08-03,1.906250,1.906250,1.843750,1.843750,1.313780,112000
1995-08-04,1.843750,1.906250,1.843750,1.906250,1.358315,68800
1995-08-07,1.906250,1.906250,1.843750,1.843750,1.313780,315200
1995-08-08,1.906250,1.906250,1.859375,1.906250,1.358315,138400
1995-08-09,1.843750,1.906250,1.843750,1.906250,1.358315,314400
1995-08-10,1.906250,1.906250,1.843750,1.875000,1.336048,699200
1995-08-11,1.906250,1.906250,1.875000,1.906250,1.358315,97600
1995-08-14,1.906250,1.906250,1.890625,1.890625,1.347181,107200
1995-08-15,1.875000,1.937500,1.875000,1.875000,1.336048,454400
1995-08-16,1.875000,1.906250,1.875000,1.875000,1.336048,400800
1995-08-17,1.906250,1.906250,1.875000,1.906250,1.358315,86400
1995-08-18,1.906250,1.906250,1.875000,1.875000,1.336048,37600
1995-08-21,1.875000,1.906250,1.875000,1.875000,1.336048,75200
1995-08-22,1.875000,1.906250,1.875000,1.875000,1.336048,189600
1995-08-23,1.875000,1.937500,1.843750,1.875000,1.336048,3002400
1995-08-24,1.875000,2.000000,1.875000,1.968750,1.402850,869600
1995-08-25,2.031250,2.062500,1.937500,1.937500,1.380582,269600
1995-08-28,1.937500,2.031250,1.937500,1.937500,1.380582,228000
1995-08-29,2.031250,2.031250,1.906250,2.000000,1.425117,264800
1995-08-30,1.875000,2.031250,1.875000,2.031250,1.447385,2692800
1995-08-31,2.031250,2.031250,1.906250,2.000000,1.425117,176000
1995-09-01,2.031250,2.031250,1.906250,1.968750,1.402850,59200
1995-09-05,2.031250,2.031250,1.906250,1.937500,1.380582,449600
1995-09-06,2.000000,2.000000,1.906250,2.000000,1.425117,657600
1995-09-07,1.984375,2.031250,1.937500,1.937500,1.380582,311200
1995-09-08,2.031250,2.062500,1.968750,2.015625,1.436251,530400
1995-09-11,2.000000,2.062500,1.968750,2.062500,1.469652,52800
1995-09-12,2.062500,2.062500,1.968750,2.000000,1.425117,201600
1995-09-13,1.968750,2.062500,1.968750,2.062500,1.469652,206400
1995-09-14,2.046875,2.062500,1.968750,2.015625,1.436251,266400
1995-09-15,1.968750,2.062500,1.968750,1.968750,1.402850,392000
1995-09-18,1.968750,2.031250,1.968750,1.968750,1.402850,218400
1995-09-19,1.968750,2.062500,1.968750,2.031250,1.447385,2748800
1995-09-20,2.125000,2.125000,2.062500,2.125000,1.514187,1516800
1995-09-21,2.125000,2.125000,2.062500,2.062500,1.469652,136000
1995-09-22,2.062500,2.125000,2.062500,2.062500,1.469652,257600
1995-09-25,2.125000,2.125000,2.031250,2.031250,1.447385,216000
1995-09-26,2.031250,2.062500,1.656250,1.703125,1.213576,908000
1995-09-27,1.718750,1.750000,1.500000,1.750000,1.246978,1094400
1995-09-28,1.750000,1.750000,1.656250,1.687500,1.202443,1549600
1995-09-29,1.750000,1.843750,1.718750,1.812500,1.291513,861600
1995-10-02,1.812500,1.812500,1.750000,1.812500,1.291513,599200
1995-10-03,1.812500,1.843750,1.750000,1.812500,1.291513,378400
1995-10-04,1.843750,1.843750,1.718750,1.750000,1.246978,412800
1995-10-05,1.781250,1.781250,1.687500,1.687500,1.202443,136800
1995-10-06,1.781250,1.781250,1.656250,1.703125,1.213576,177600
1995-10-09,1.781250,1.781250,1.531250,1.625000,1.157908,334400
1995-10-10,1.625000,1.625000,1.531250,1.625000,1.157908,84000
1995-10-11,1.625000,1.625000,1.531250,1.531250,1.091106,153600
1995-10-12,1.531250,1.625000,1.531250,1.625000,1.157908,395200
1995-10-13,1.531250,1.625000,1.531250,1.593750,1.135641,119200
1995-10-16,1.625000,1.968750,1.562500,1.937500,1.380582,1646400
1995-10-17,1.937500,1.937500,1.812500,1.843750,1.313780,3222400
1995-10-18,1.843750,1.937500,1.828125,1.937500,1.380582,440800
1995-10-19,1.843750,1.937500,1.843750,1.937500,1.380582,81600
1995-10-20,1.906250,1.937500,1.812500,1.812500,1.291513,458400
1995-10-23,1.906250,1.906250,1.812500,1.906250,1.358315,180000
1995-10-24,1.906250,1.906250,1.812500,1.906250,1.358315,25600
1995-10-25,1.906250,1.906250,1.781250,1.781250,1.269245,18400
1995-10-26,1.875000,1.875000,1.781250,1.781250,1.269245,726400
1995-10-27,1.781250,1.875000,1.781250,1.781250,1.269245,87200
1995-10-30,1.875000,1.906250,1.781250,1.828125,1.302646,393600
1995-10-31,1.859375,1.906250,1.812500,1.812500,1.291513,76800
1995-11-01,1.906250,1.906250,1.812500,1.812500,1.291513,117600
1995-11-02,1.812500,1.937500,1.812500,1.812500,1.291513,131200
1995-11-03,1.906250,1.906250,1.781250,1.843750,1.313780,573600
1995-11-06,1.906250,1.906250,1.906250,1.906250,1.358315,12800
1995-11-07,1.906250,1.906250,1.781250,1.906250,1.358315,42400
1995-11-08,1.906250,1.968750,1.859375,1.968750,1.402850,185600
1995-11-09,1.968750,1.968750,1.812500,1.828125,1.302646,304000
1995-11-10,1.906250,1.906250,1.812500,1.906250,1.358315,36000
1995-11-13,1.906250,1.906250,1.781250,1.875000,1.336048,142400
1995-11-14,1.875000,1.875000,1.781250,1.875000,1.336048,69600
1995-11-15,1.875000,1.937500,1.828125,1.875000,1.336048,196000
1995-11-16,1.875000,1.875000,1.812500,1.828125,1.302646,653600
1995-11-17,1.875000,1.875000,1.812500,1.875000,1.336048,41600
1995-11-20,1.875000,1.937500,1.843750,1.843750,1.313780,204800
1995-11-21,1.843750,1.937500,1.750000,1.781250,1.269245,686400
1995-11-22,1.750000,1.843750,1.750000,1.843750,1.313780,42400
1995-11-24,1.843750,1.843750,1.750000,1.812500,1.291513,20000
1995-11-27,1.750000,1.937500,1.750000,1.875000,1.336048,306400
1995-11-28,1.937500,2.031250,1.875000,1.968750,1.402850,1104000
1995-11-29,1.937500,1.968750,1.906250,1.906250,1.358315,660000
1995-11-30,1.968750,1.968750,1.890625,1.890625,1.347181,192800
1995-12-01,1.875000,1.937500,1.875000,1.937500,1.380582,59200
1995-12-04,1.937500,1.937500,1.875000,1.937500,1.380582,232800
1995-12-05,1.890625,1.937500,1.843750,1.937500,1.380582,1767200
1995-12-06,1.875000,1.968750,1.875000,1.937500,1.380582,658400
1995-12-07,1.937500,1.937500,1.906250,1.921875,1.369449,579200
1995-12-08,1.937500,1.937500,1.906250,1.906250,1.358315,108800
1995-12-11,1.937500,1.968750,1.906250,1.906250,1.358315,291200
1995-12-12,1.968750,1.968750,1.906250,1.906250,1.358315,420000
1995-12-13,1.906250,1.968750,1.906250,1.968750,1.402850,316000
1995-12-14,1.968750,1.968750,1.906250,1.921875,1.369449,916800
1995-12-15,1.968750,1.968750,1.906250,1.968750,1.402850,146400
1995-12-18,1.968750,2.000000,1.906250,2.000000,1.425117,140000
1995-12-19,2.031250,2.218750,2.031250,2.187500,1.558722,843200
1995-12-20,2.218750,2.406250,2.218750,2.343750,1.670059,1258400
