Date,Open,High,Low,Close,Adj Close,Volume
2000-11-15,330.299988,330.299988,330.299988,330.299988,275.489441,40873921
2000-11-16,350.098999,350.098999,350.098999,350.098999,292.002960,10266393
2000-11-17,349.132996,349.132996,349.132996,349.132996,291.197235,7366944
2000-11-20,344.303986,344.303986,344.303986,344.303986,287.169586,5578362
2000-11-21,337.061005,337.061005,337.061005,337.061005,281.128479,6584330
2000-11-22,327.885986,327.885986,327.885986,327.885986,273.476013,5065291
2000-11-23,324.506012,324.506012,324.506012,324.506012,270.656921,1443425
2000-11-24,326.920013,326.920013,326.920013,326.920013,272.670319,326277
2000-11-27,327.885986,327.885986,327.885986,327.885986,273.476013,1981494
2000-11-28,328.851990,328.851990,328.851990,328.851990,274.281708,5715831
2000-11-29,336.095001,336.095001,336.095001,336.095001,280.322815,499492
2000-11-30,343.338989,343.338989,343.338989,343.338989,286.364716,2079090
2000-12-01,345.752991,345.752991,345.752991,345.752991,288.378143,685419
2000-12-04,342.855988,342.855988,342.855988,342.855988,285.961884,836573
2000-12-05,341.890015,341.890015,341.890015,341.890015,285.156158,897564
2000-12-06,346.235992,346.235992,346.235992,346.235992,288.781006,1099368
2000-12-07,347.201996,347.201996,347.201996,347.201996,289.586670,1752584
2000-12-08,347.684998,347.684998,347.684998,347.684998,289.989594,104565
2000-12-11,347.684998,347.684998,347.684998,347.684998,289.989594,181178
2000-12-12,350.098999,350.098999,350.098999,350.098999,292.002960,382404
2000-12-13,350.098999,350.098999,350.098999,350.098999,292.002960,703326
2000-12-14,351.548004,351.548004,351.548004,351.548004,293.211517,36791
2000-12-15,354.928009,354.928009,354.928009,354.928009,296.030640,214851
2000-12-18,365.552002,365.552002,365.552002,365.552002,304.891693,395326
2000-12-19,387.282013,387.282013,387.282013,387.282013,323.015747,1396380
2000-12-20,373.278015,373.278015,373.278015,373.278015,311.335602,1360182
2000-12-21,370.381012,370.381012,370.381012,370.381012,308.919312,1360182
2000-12-22,370.381012,370.381012,370.381012,370.381012,308.919312,122213
2000-12-25,370.381012,370.381012,370.381012,370.381012,308.919312,0
2000-12-26,370.381012,370.381012,370.381012,370.381012,308.919312,0
2000-12-27,372.795013,372.795013,372.795013,372.795013,310.932800,262924
2000-12-28,379.556000,379.556000,379.556000,379.556000,316.571838,262924
2000-12-29,379.072998,379.072998,379.072998,379.072998,316.168976,41111
2001-01-01,379.072998,379.072998,379.072998,379.072998,316.168976,0
2001-01-02,377.382996,378.204010,371.829010,375.850006,313.480804,930347
2001-01-03,370.864014,370.864014,367.001007,367.532013,306.543152,924971
2001-01-04,371.829010,376.079010,371.829010,374.002991,311.940277,924971
2001-01-05,374.726990,383.419006,370.864014,378.589996,315.766113,1567257
2001-01-08,379.556000,381.005005,376.657990,379.556000,316.571838,892897
2001-01-09,381.246002,392.110992,381.246002,392.110992,327.043427,1076880
