Date,Open,High,Low,Close,Adj Close,Volume
1990-03-01,1.968750,2.437500,1.968750,2.390625,2.390625,17829600
1990-03-02,2.390625,2.437500,2.250000,2.250000,2.250000,2263200
1990-03-05,2.250000,2.312500,2.218750,2.281250,2.281250,741600
1990-03-06,2.281250,2.343750,2.187500,2.234375,2.234375,779200
1990-03-07,2.234375,2.250000,2.156250,2.156250,2.156250,293600
1990-03-08,2.156250,2.250000,2.156250,2.218750,2.218750,839200
1990-03-09,2.218750,2.281250,2.156250,2.218750,2.218750,360800
1990-03-12,2.218750,2.218750,2.187500,2.187500,2.187500,151200
1990-03-13,2.187500,2.218750,2.156250,2.187500,2.187500,204000
1990-03-14,2.187500,2.187500,2.156250,2.171875,2.171875,215200
1990-03-15,2.171875,2.343750,2.156250,2.312500,2.312500,880800
1990-03-16,2.343750,2.406250,2.343750,2.343750,2.343750,255200
1990-03-19,2.343750,2.406250,2.343750,2.406250,2.406250,146400
1990-03-20,2.406250,2.406250,2.375000,2.406250,2.406250,69600
1990-03-21,2.406250,2.406250,2.312500,2.343750,2.343750,63200
1990-03-22,2.343750,2.406250,2.250000,2.250000,2.250000,182400
1990-03-23,2.250000,2.312500,2.250000,2.312500,2.312500,12000
1990-03-26,2.343750,2.343750,2.281250,2.281250,2.281250,18400
1990-03-27,2.296875,2.296875,2.218750,2.281250,2.281250,141600
1990-03-28,2.187500,2.250000,2.187500,2.218750,2.218750,136800
1990-03-29,2.250000,2.281250,2.218750,2.218750,2.218750,164000
1990-03-30,2.218750,2.343750,2.218750,2.343750,2.343750,453600
1990-04-02,2.281250,2.312500,2.250000,2.312500,2.312500,113600
1990-04-03,2.312500,2.312500,2.281250,2.281250,2.281250,48800
1990-04-04,2.312500,2.312500,2.187500,2.187500,2.187500,333600
1990-04-05,2.250000,2.250000,2.218750,2.250000,2.250000,15200
1990-04-06,2.187500,2.250000,2.156250,2.187500,2.187500,111200
1990-04-09,2.156250,2.187500,2.125000,2.125000,2.125000,88800
1990-04-10,2.187500,2.187500,2.062500,2.125000,2.125000,356800
1990-04-11,2.156250,2.187500,2.125000,2.171875,2.171875,240000
1990-04-12,2.187500,2.218750,2.125000,2.156250,2.156250,120800
1990-04-16,2.218750,2.218750,2.125000,2.125000,2.125000,84800
1990-04-17,2.125000,2.156250,2.093750,2.093750,2.093750,103200
1990-04-18,2.093750,2.125000,2.093750,2.125000,2.125000,7200
1990-04-19,2.125000,2.140625,2.125000,2.140625,2.140625,16000
1990-04-20,2.187500,2.187500,2.125000,2.125000,2.125000,30400
1990-04-23,2.187500,2.250000,2.187500,2.187500,2.187500,268000
1990-04-24,2.281250,2.281250,2.218750,2.250000,2.250000,125600
1990-04-25,2.250000,2.343750,2.250000,2.312500,2.312500,93600
1990-04-26,2.437500,2.531250,2.375000,2.531250,2.531250,371200
1990-04-27,2.562500,2.656250,2.500000,2.578125,2.578125,232000
1990-04-30,2.531250,2.656250,2.531250,2.656250,2.656250,42400
1990-05-01,2.656250,2.656250,2.593750,2.656250,2.656250,23200
1990-05-02,2.625000,2.625000,2.500000,2.531250,2.531250,230400
1990-05-03,2.593750,2.718750,2.531250,2.687500,2.687500,596000
1990-05-04,2.718750,2.843750,2.687500,2.812500,2.812500,252800
