Date,Open,High,Low,Close,Adj Close,Volume
1995-11-03,5.437500,5.875000,5.093750,5.687500,5.687500,18996000
1995-11-06,5.625000,5.812500,5.562500,5.718750,5.718750,2947600
1995-11-07,5.750000,5.750000,5.562500,5.625000,5.625000,2660000
1995-11-08,5.500000,5.687500,5.500000,5.562500,5.562500,667600
1995-11-09,5.562500,5.750000,5.562500,5.687500,5.687500,450800
1995-11-10,5.562500,5.750000,5.437500,5.437500,5.437500,840000
1995-11-13,5.625000,5.625000,5.437500,5.562500,5.562500,386000
1995-11-14,5.437500,5.625000,5.437500,5.437500,5.437500,828800
1995-11-15,5.437500,5.687500,5.437500,5.546875,5.546875,676800
1995-11-16,5.687500,5.687500,5.437500,5.625000,5.625000,498000
1995-11-17,5.437500,5.687500,5.437500,5.500000,5.500000,228000
1995-11-20,5.500000,5.687500,5.500000,5.500000,5.500000,211200
1995-11-21,5.687500,5.687500,5.500000,5.500000,5.500000,274400
1995-11-22,5.500000,5.687500,5.500000,5.500000,5.500000,532800
1995-11-24,5.687500,5.687500,5.562500,5.671875,5.671875,43600
1995-11-27,5.562500,5.937500,5.562500,5.750000,5.750000,432800
1995-11-28,5.812500,5.875000,5.750000,5.875000,5.875000,83200
1995-11-29,5.750000,6.437500,5.750000,6.375000,6.375000,1223600
1995-11-30,6.437500,6.500000,6.250000,6.312500,6.312500,687600
1995-12-01,6.312500,6.437500,6.250000,6.312500,6.312500,507600
1995-12-04,6.375000,6.375000,6.062500,6.093750,6.093750,312800
1995-12-05,6.187500,6.187500,6.062500,6.187500,6.187500,398800
1995-12-06,6.187500,6.250000,6.062500,6.218750,6.218750,132000
1995-12-07,6.062500,6.250000,6.062500,6.062500,6.062500,384000
1995-12-08,6.250000,6.250000,6.062500,6.125000,6.125000,576800
1995-12-11,6.125000,6.250000,6.062500,6.125000,6.125000,277200
1995-12-12,6.250000,6.250000,6.000000,6.062500,6.062500,1038000
1995-12-13,6.000000,6.062500,5.875000,5.937500,5.937500,812400
1995-12-14,5.812500,5.937500,5.750000,5.812500,5.812500,162800
1995-12-15,5.687500,5.812500,5.687500,5.812500,5.812500,246000
1995-12-18,5.687500,5.812500,5.687500,5.687500,5.687500,59200
1995-12-19,5.812500,5.843750,5.687500,5.812500,5.812500,329600
1995-12-20,5.750000,5.937500,5.750000,5.937500,5.937500,375600
1995-12-21,5.968750,6.000000,5.812500,5.812500,5.812500,12800
1995-12-22,6.000000,6.000000,5.812500,6.000000,6.000000,13200
1995-12-26,5.812500,6.000000,5.812500,5.812500,5.812500,11600
1995-12-27,6.000000,6.687500,5.875000,6.687500,6.687500,390800
1995-12-28,6.750000,7.250000,6.750000,7.062500,7.062500,1364800
1995-12-29,7.062500,7.375000,6.937500,7.375000,7.375000,667600
1996-01-02,7.250000,7.312500,6.812500,6.812500,6.812500,242400
1996-01-03,6.937500,6.937500,6.437500,6.562500,6.562500,615600
1996-01-04,6.562500,6.562500,5.875000,6.093750,6.093750,725600
1996-01-05,6.125000,6.125000,5.906250,6.062500,6.062500,301600
1996-01-08,6.062500,6.062500,5.906250,5.906250,5.906250,21200
1996-01-09,6.125000,6.125000,5.937500,5.953125,5.953125,375200
1996-01-10,6.062500,6.062500,5.937500,6.062500,6.062500,574000
1996-01-11,6.062500,6.062500,5.937500,5.937500,5.937500,193600
1996-01-12,6.187500,6.187500,5.937500,5.937500,5.937500,55200
1996-01-15,6.187500,6.187500,5.937500,5.937500,5.937500,73600
1996-01-16,5.937500,6.187500,5.937500,6.125000,6.125000,21600
1996-01-17,6.125000,6.187500,5.937500,6.125000,6.125000,166400
1996-01-18,6.093750,6.312500,6.093750,6.312500,6.312500,92800
1996-01-19,6.437500,6.687500,6.312500,6.687500,6.687500,410400
1996-01-22,6.687500,7.000000,6.562500,7.000000,7.000000,294400
1996-01-23,7.000000,7.187500,7.000000,7.093750,7.093750,258400
1996-01-24,7.187500,7.187500,6.812500,7.062500,7.062500,258400
1996-01-25,6.812500,7.062500,6.812500,7.062500,7.062500,66400
1996-01-26,6.812500,7.000000,6.812500,6.812500,6.812500,44400
1996-01-29,7.000000,7.000000,6.812500,7.000000,7.000000,88400
1996-01-30,7.000000,7.187500,6.875000,7.000000,7.000000,144400
1996-01-31,7.187500,7.500000,7.000000,7.375000,7.375000,427200
1996-02-01,7.500000,7.562500,7.125000,7.125000,7.125000,244400
1996-02-02,7.250000,7.375000,6.812500,7.312500,7.312500,292800
1996-02-05,7.437500,7.500000,7.250000,7.312500,7.312500,170400
1996-02-06,7.500000,7.500000,7.312500,7.375000,7.375000,74800
1996-02-07,7.250000,7.500000,7.250000,7.500000,7.500000,44800
1996-02-08,7.500000,7.500000,7.312500,7.312500,7.312500,53200
1996-02-09,7.312500,7.437500,7.312500,7.375000,7.375000,113200
1996-02-12,7.437500,7.437500,7.312500,7.375000,7.375000,326800
1996-02-13,7.312500,7.500000,7.312500,7.406250,7.406250,306400
1996-02-14,7.500000,7.500000,7.375000,7.375000,7.375000,3440800
1996-02-15,7.500000,7.500000,7.250000,7.250000,7.250000,14400
1996-02-16,7.250000,7.437500,7.250000,7.312500,7.312500,189600
1996-02-20,7.437500,7.437500,7.250000,7.250000,7.250000,41600
1996-02-21,7.437500,7.437500,7.250000,7.250000,7.250000,25200
