Date,Open,High,Low,Close,Adj Close,Volume
1993-11-04,1.875000,1.937500,1.875000,1.875000,1.875000,1406400
1993-11-05,1.875000,2.000000,1.875000,1.968750,1.968750,802000
1993-11-08,2.000000,2.062500,1.968750,1.968750,1.968750,430400
1993-11-09,1.968750,2.000000,1.968750,1.968750,1.968750,142000
1993-11-10,1.968750,2.000000,1.968750,2.000000,2.000000,90800
1993-11-11,2.000000,2.125000,2.000000,2.031250,2.031250,408800
1993-11-12,2.031250,2.156250,2.031250,2.093750,2.093750,393200
1993-11-15,2.156250,2.375000,2.093750,2.312500,2.312500,602800
1993-11-16,2.312500,2.500000,2.312500,2.437500,2.437500,455200
1993-11-17,2.468750,2.500000,2.375000,2.375000,2.375000,165600
1993-11-18,2.375000,2.375000,2.312500,2.312500,2.312500,299200
1993-11-19,2.312500,2.343750,2.312500,2.343750,2.343750,58800
1993-11-22,2.281250,2.281250,2.093750,2.250000,2.250000,244400
1993-11-23,2.218750,2.437500,2.218750,2.406250,2.406250,259200
1993-11-24,2.406250,2.468750,2.343750,2.343750,2.343750,48400
1993-11-26,2.375000,2.406250,2.375000,2.375000,2.375000,16800
1993-11-29,2.375000,2.375000,2.250000,2.250000,2.250000,92000
1993-11-30,2.218750,2.312500,2.218750,2.250000,2.250000,89200
1993-12-01,2.281250,2.281250,2.187500,2.187500,2.187500,98400
1993-12-02,2.218750,2.593750,2.218750,2.593750,2.593750,612400
1993-12-03,2.750000,2.968750,2.437500,2.562500,2.562500,494800
1993-12-06,2.531250,2.562500,2.406250,2.406250,2.406250,74400
1993-12-07,2.406250,2.406250,2.343750,2.343750,2.343750,88000
1993-12-08,2.406250,2.437500,2.375000,2.375000,2.375000,64800
1993-12-09,2.406250,2.406250,2.343750,2.343750,2.343750,10800
1993-12-10,2.375000,2.375000,2.312500,2.312500,2.312500,16000
1993-12-13,2.312500,2.312500,2.187500,2.218750,2.218750,96400
1993-12-14,2.218750,2.218750,2.156250,2.187500,2.187500,236000
1993-12-15,2.156250,2.250000,2.125000,2.218750,2.218750,60800
1993-12-16,2.250000,2.281250,2.218750,2.218750,2.218750,52000
1993-12-17,2.250000,2.250000,2.156250,2.156250,2.156250,23200
1993-12-20,2.156250,2.250000,2.156250,2.218750,2.218750,29600
1993-12-21,2.187500,2.187500,2.187500,2.187500,2.187500,20800
1993-12-22,2.218750,2.218750,2.187500,2.187500,2.187500,40800
1993-12-23,2.250000,2.312500,2.250000,2.281250,2.281250,42800
1993-12-27,2.343750,2.343750,2.312500,2.312500,2.312500,22000
1993-12-28,2.343750,2.343750,2.250000,2.281250,2.281250,58800
1993-12-29,2.250000,2.250000,2.250000,2.250000,2.250000,12000
1993-12-30,2.250000,2.250000,2.218750,2.218750,2.218750,17600
1993-12-31,2.250000,2.250000,2.250000,2.250000,2.250000,7200
1994-01-03,2.218750,2.250000,2.187500,2.187500,2.187500,22400
1994-01-04,2.187500,2.187500,2.156250,2.156250,2.156250,57600
1994-01-05,2.187500,2.218750,2.187500,2.218750,2.218750,23200
1994-01-06,2.218750,2.218750,2.187500,2.218750,2.218750,27200
1994-01-07,2.187500,2.187500,2.156250,2.187500,2.187500,25200
1994-01-10,2.156250,2.156250,2.156250,2.156250,2.156250,5200
1994-01-11,2.187500,2.218750,2.156250,2.156250,2.156250,39600
1994-01-12,2.187500,2.187500,2.187500,2.187500,2.187500,4000
1994-01-13,2.187500,2.187500,2.000000,2.125000,2.125000,466400
1994-01-14,2.093750,2.125000,2.062500,2.062500,2.062500,157200
1994-01-17,2.093750,2.125000,2.093750,2.093750,2.093750,39600
1994-01-18,2.125000,2.125000,2.093750,2.125000,2.125000,30000
1994-01-19,2.187500,2.312500,2.187500,2.250000,2.250000,271200
1994-01-20,2.312500,2.312500,2.250000,2.281250,2.281250,78000
1994-01-21,2.250000,2.281250,2.250000,2.281250,2.281250,26400
1994-01-24,2.312500,2.375000,2.281250,2.343750,2.343750,90400
1994-01-25,2.343750,2.343750,2.312500,2.312500,2.312500,12000
1994-01-26,2.343750,2.625000,2.343750,2.625000,2.625000,144000
1994-01-27,2.656250,2.875000,2.656250,2.687500,2.687500,247200
1994-01-28,2.718750,2.781250,2.656250,2.718750,2.718750,69200
1994-01-31,2.781250,2.812500,2.625000,2.781250,2.781250,438400
