Date,Open,High,Low,Close,Adj Close,Volume
2014-05-22,21.750000,22.799999,20.240000,20.900000,20.900000,84449700
2014-05-23,21.250000,21.250000,19.940001,20.100000,20.100000,20890300
2014-05-27,20.100000,22.980000,20.100000,22.969999,22.969999,15338100
2014-05-28,22.980000,25.299999,22.799999,24.780001,24.780001,16783000
2014-05-29,25.040001,25.690001,24.240000,25.400000,25.400000,8525900
2014-05-30,25.270000,25.559999,23.790001,25.000000,25.000000,6302800
2014-06-02,25.400000,25.440001,24.070000,24.600000,24.600000,3808800
2014-06-03,24.170000,25.250000,24.030001,25.100000,25.100000,3388500
2014-06-04,24.990000,25.280001,24.440001,24.540001,24.540001,2990800
2014-06-05,24.799999,26.750000,24.600000,25.780001,25.780001,7933500
2014-06-06,26.500000,27.040001,26.309999,26.580000,26.580000,4317500
2014-06-09,27.000000,29.090000,26.580000,28.430000,28.430000,10659800
2014-06-10,28.820000,28.860001,27.700001,28.350000,28.350000,5617200
2014-06-11,28.100000,29.490000,28.100000,29.000000,29.000000,6555600
2014-06-12,29.590000,29.600000,26.340000,27.170000,27.170000,9159600
2014-06-13,27.680000,28.200001,27.129999,27.790001,27.790001,5161800
2014-06-16,27.219999,27.440001,26.379999,26.889999,26.889999,6160000
2014-06-17,27.219999,27.450001,26.629999,27.018999,27.018999,3652000
2014-06-18,27.440001,27.889999,26.030001,26.520000,26.520000,5278300
2014-06-19,27.000000,27.000000,25.799999,25.830000,25.830000,3716900
2014-06-20,25.750000,25.969999,24.920000,25.450001,25.450001,7613400
2014-06-23,25.110001,26.459999,25.100000,26.370001,26.370001,5590900
2014-06-24,26.510000,27.340000,26.510000,27.040001,27.040001,5737700
2014-06-25,27.250000,27.350000,26.450001,27.070000,27.070000,1923600
2014-06-26,27.139999,28.350000,26.809999,28.299999,28.299999,3622300
2014-06-27,28.360001,28.500000,27.709999,28.010000,28.010000,3066300
2014-06-30,28.170000,28.530001,27.680000,28.510000,28.510000,3986200
2014-07-01,29.000000,31.219999,28.860001,29.690001,29.690001,12626000
2014-07-02,30.400000,30.410000,28.500000,28.959999,28.959999,6108200
2014-07-03,29.280001,29.350000,27.530001,27.790001,27.790001,4398200
2014-07-07,28.010000,28.730000,27.450001,27.629999,27.629999,3826200
2014-07-08,28.080000,28.080000,25.809999,26.469999,26.469999,6454700
