Date,Open,High,Low,Close,Adj Close,Volume
1980-10-08,1.156250,1.177083,1.156250,1.156250,0.692028,2889600
1980-10-09,1.166667,1.177083,1.166667,1.166667,0.698263,1176000
1980-10-10,1.270833,1.302083,1.270833,1.270833,0.760608,1824000
1980-10-13,1.364583,1.385417,1.364583,1.364583,0.816718,679200
1980-10-14,1.302083,1.302083,1.281250,1.281250,0.766842,640800
1980-10-15,1.322917,1.354167,1.322917,1.322917,0.791780,408000
1980-10-16,1.312500,1.312500,1.291667,1.291667,0.773077,554400
1980-10-17,1.302083,1.322917,1.302083,1.302083,0.779311,456000
1980-10-20,1.343750,1.364583,1.343750,1.343750,0.804249,213600
1980-10-21,1.302083,1.302083,1.281250,1.281250,0.766842,405600
1980-10-22,1.302083,1.322917,1.302083,1.302083,0.779311,141600
1980-10-23,1.302083,1.312500,1.281250,1.281250,0.766842,180000
1980-10-24,1.312500,1.343750,1.312500,1.312500,0.785546,115200
1980-10-27,1.312500,1.322917,1.291667,1.291667,0.773077,136800
1980-10-28,1.291667,1.291667,1.270833,1.270833,0.760608,168000
1980-10-29,1.281250,1.302083,1.281250,1.281250,0.766842,144000
1980-10-30,1.250000,1.250000,1.229167,1.229167,0.735670,163200
1980-10-31,1.239583,1.270833,1.239583,1.239583,0.741904,124800
1980-11-03,1.250000,1.281250,1.250000,1.250000,0.748139,74400
1980-11-05,1.260417,1.291667,1.260417,1.260417,0.754373,105600
1980-11-06,1.239583,1.239583,1.208333,1.208333,0.723201,72000
1980-11-07,1.208333,1.208333,1.177083,1.177083,0.704497,139200
1980-11-10,1.229167,1.260417,1.229167,1.229167,0.735670,105600
1980-11-11,1.333333,1.343750,1.333333,1.333333,0.798015,134400
1980-11-12,1.385417,1.427083,1.385417,1.385417,0.829187,84000
1980-11-13,1.395833,1.427083,1.395833,1.395833,0.835422,88800
1980-11-14,1.437500,1.468750,1.437500,1.437500,0.860360,172800
1980-11-17,1.520833,1.552083,1.520833,1.520833,0.910236,112800
