Date,Open,High,Low,Close,Adj Close,Volume
1995-01-03,405.230011,405.230011,405.230011,405.230011,167.375580,1720058
1995-01-04,408.027008,408.027008,408.027008,408.027008,168.530869,3425949
1995-01-05,409.898010,409.898010,409.898010,409.898010,169.303650,1626261
1995-01-06,418.246002,418.246002,418.246002,418.246002,172.751694,2404000
1995-01-09,418.246002,418.246002,418.246002,418.246002,172.751694,4127084
1995-01-10,419.195007,419.195007,419.195007,419.195007,173.143646,1895497
1995-01-11,417.324005,417.324005,417.324005,417.324005,172.370850,2378376
1995-01-12,418.246002,418.246002,418.246002,418.246002,172.751694,2318128
1995-01-13,418.246002,418.246002,418.246002,418.246002,172.751694,2333748
1995-01-16,428.023010,428.023010,428.023010,428.023010,176.789993,2556862
1995-01-17,424.750000,424.750000,424.750000,424.750000,175.438095,3772405
1995-01-18,418.718994,418.718994,418.718994,418.718994,172.947098,3363577
1995-01-19,412.691010,412.691010,412.691010,412.691010,170.457260,1822993
1995-01-20,409.898010,409.898010,409.898010,409.898010,169.303650,1307513
1995-01-23,401.519989,401.519989,401.519989,401.519989,165.843216,1736739
1995-01-24,399.648010,399.648010,399.648010,399.648010,165.070007,1033812
1995-01-25,407.105011,407.105011,407.105011,407.105011,168.150085,3070684
1995-01-26,419.195007,419.195007,419.195007,419.195007,173.143646,2787088
1995-01-27,417.800995,417.800995,417.800995,417.800995,172.567871,1938785
1995-01-30,413.613007,413.613007,413.613007,413.613007,170.838074,1376966
1995-01-31,416.406006,416.406006,416.406006,416.406006,171.991699,1247101
1995-02-01,412.691010,412.691010,412.691010,412.691010,170.457260,1917417
1995-02-02,417.324005,417.324005,417.324005,417.324005,172.370850,1260398
1995-02-03,416.406006,416.406006,416.406006,416.406006,171.991699,1966809
1995-02-06,417.324005,417.324005,417.324005,417.324005,172.370850,803210
1995-02-07,420.121002,420.121002,420.121002,420.121002,173.526108,2282261
1995-02-08,423.832001,423.832001,423.832001,423.832001,175.058960,2537426
1995-02-09,426.621002,426.621002,426.621002,426.621002,176.210892,2445020
1995-02-10,428.460999,428.460999,428.460999,428.460999,176.970871,2784169
1995-02-13,421.960999,421.960999,421.960999,421.960999,174.286163,1536092
1995-02-14,414.535004,414.535004,414.535004,414.535004,171.218887,2047713
1995-02-15,416.847992,416.847992,416.847992,416.847992,172.174255,1540302
1995-02-16,409.898010,409.898010,409.898010,409.898010,169.303650,2132643
1995-02-17,401.519989,401.519989,401.519989,401.519989,165.843216,3455823
1995-02-20,392.222992,392.222992,392.222992,392.222992,162.003204,9566939
1995-02-21,386.636993,386.636993,386.636993,386.636993,159.695953,2086605
1995-02-22,384.796997,384.796997,384.796997,384.796997,158.935974,2850812
1995-02-23,395.933990,395.933990,395.933990,395.933990,163.535995,3526251
1995-02-24,394.093994,394.093994,394.093994,394.093994,162.776001,1951069
1995-02-27,386.191010,386.191010,386.191010,386.191010,159.511795,1020294
1995-02-28,386.636993,386.636993,386.636993,386.636993,159.695953,2073831
1995-03-01,395.933990,395.933990,395.933990,395.933990,163.535995,2441902
1995-03-02,400.601990,400.601990,400.601990,400.601990,165.464005,2351078
1995-03-03,401.519989,401.519989,401.519989,401.519989,165.843216,982704
1995-03-06,390.828003,390.828003,390.828003,390.828003,161.426987,2741459
1995-03-07,382.007996,382.007996,382.007996,382.007996,157.784027,1676673
1995-03-08,392.222992,392.222992,392.222992,392.222992,162.003204,3859570
1995-03-09,388.984009,388.984009,388.984009,388.984009,160.665359,2128405
1995-03-10,398.730011,398.730011,398.730011,398.730011,164.690872,1600646
1995-03-13,398.730011,398.730011,398.730011,398.730011,164.690872,1555676
1995-03-14,407.105011,407.105011,407.105011,407.105011,168.150085,1803916
1995-03-15,403.390991,403.390991,403.390991,403.390991,166.616013,2892652
1995-03-16,404.316010,404.316010,404.316010,404.316010,166.998123,2367614
1995-03-17,402.441010,402.441010,402.441010,402.441010,166.223618,3849672
1995-03-20,386.636993,386.636993,386.636993,386.636993,159.695953,5593967
1995-03-21,400.601990,400.601990,400.601990,400.601990,165.464005,5461756
1995-03-22,407.105011,407.105011,407.105011,407.105011,168.150085,3408210
1995-03-23,403.390991,403.390991,403.390991,403.390991,166.616013,2305699
1995-03-24,411.738007,411.738007,411.738007,411.738007,170.063644,0
1995-03-27,410.824005,410.824005,410.824005,410.824005,169.686142,0
1995-03-28,404.316010,404.316010,404.316010,404.316010,166.998123,0
1995-03-29,404.316010,404.316010,404.316010,404.316010,166.998123,2840413
1995-03-30,416.406006,416.406006,416.406006,416.406006,171.991699,0
1995-03-31,408.027008,408.027008,408.027008,408.027008,168.530869,439
1995-04-03,404.316010,404.316010,404.316010,404.316010,166.998123,0
1995-04-04,408.945007,408.945007,408.945007,408.945007,168.910034,0
1995-04-05,413.613007,413.613007,413.613007,413.613007,170.838074,0
1995-04-06,417.324005,417.324005,417.324005,417.324005,172.370850,0
1995-04-07,421.035004,421.035004,421.035004,421.035004,173.903671,0
1995-04-10,418.246002,418.246002,418.246002,418.246002,172.751694,0
1995-04-11,414.535004,414.535004,414.535004,414.535004,171.218887,0
1995-04-12,419.195007,419.195007,419.195007,419.195007,173.143646,0
1995-04-13,419.195007,419.195007,419.195007,419.195007,173.143646,0
1995-04-14,419.195007,419.195007,419.195007,419.195007,173.143646,0
1995-04-17,419.195007,419.195007,419.195007,419.195007,173.143646,0
1995-04-18,413.613007,413.613007,413.613007,413.613007,170.838074,0
1995-04-19,412.691010,412.691010,412.691010,412.691010,170.457260,0
1995-04-20,411.738007,411.738007,411.738007,411.738007,170.063644,0
1995-04-21,423.832001,423.832001,423.832001,423.832001,175.058960,0
1995-04-24,427.542999,427.542999,427.542999,427.542999,176.591736,0
1995-04-25,433.605011,433.605011,433.605011,433.605011,179.095581,0
1995-04-26,436.839996,436.839996,436.839996,436.839996,180.431763,0
1995-04-27,438.714996,438.714996,438.714996,438.714996,181.206177,0
1995-04-28,435.917999,435.917999,435.917999,435.917999,180.050934,0
1995-05-01,439.628998,439.628998,439.628998,439.628998,181.583740,0
1995-05-02,443.347992,443.347992,443.347992,443.347992,183.119766,0
1995-05-03,440.554993,440.554993,440.554993,440.554993,181.966156,0
1995-05-04,438.714996,438.714996,438.714996,438.714996,181.206177,0
1995-05-05,440.554993,440.554993,440.554993,440.554993,181.966156,0
1995-05-08,440.554993,440.554993,440.554993,440.554993,181.966156,0
1995-05-09,443.820007,443.820007,443.820007,443.820007,183.314789,0
1995-05-10,447.062012,447.062012,447.062012,447.062012,184.653763,0
1995-05-11,454.519989,454.519989,454.519989,454.519989,187.734253,0
1995-05-12,459.148010,459.148010,459.148010,459.148010,189.645798,0
1995-05-15,459.148010,459.148010,459.148010,459.148010,189.645798,0
1995-05-16,451.722992,451.722992,451.722992,451.722992,186.578979,0
1995-05-17,452.644989,452.644989,452.644989,452.644989,186.959839,0
1995-05-18,452.167999,452.167999,452.167999,452.167999,186.762787,0
1995-05-19,449.851990,449.851990,449.851990,449.851990,185.806213,0
1995-05-22,454.519989,454.519989,454.519989,454.519989,187.734253,0
1995-05-23,458.230011,458.230011,458.230011,458.230011,189.266586,0
1995-05-24,456.359009,456.359009,456.359009,456.359009,188.493866,0
1995-05-25,458.230011,458.230011,458.230011,458.230011,189.266586,0
1995-05-26,454.519989,454.519989,454.519989,454.519989,187.734253,0
1995-05-29,454.519989,454.519989,454.519989,454.519989,187.734253,0
1995-05-30,454.519989,454.519989,454.519989,454.519989,187.734253,0
1995-05-31,457.277008,457.277008,457.277008,457.277008,188.873032,0
