Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,575.851990,584.721008,575.851990,584.721008,398.732880,822
2000-01-05,576.909973,584.721008,576.909973,584.721008,398.732880,200000
2000-01-06,563.000000,563.000000,563.000000,563.000000,383.920746,0
2000-01-07,559.000000,559.000000,559.000000,559.000000,381.193176,0
2000-01-10,575.851990,584.721008,573.952026,584.721008,398.732880,670
2000-01-11,573.952026,579.653015,573.952026,579.653015,395.276855,2500
2000-01-12,572.051025,587.255005,570.151001,579.653015,395.276855,3320
2000-01-13,589.088989,589.088989,579.653015,579.653015,395.276855,3669
2000-01-14,572.051025,579.653015,572.051025,579.653015,395.276855,579
2000-01-17,572.051025,620.830994,572.051025,614.495972,419.037018,10745
2000-01-18,625.581970,627.166016,620.830994,620.830994,423.356964,1715
2000-01-19,616.080017,620.830994,614.495972,620.830994,423.356964,2500
2000-01-20,614.495972,627.166016,614.495972,614.495972,419.037018,12788
2000-01-21,603.726013,614.495972,603.726013,614.495972,419.037018,3825
2000-01-24,601.825989,614.495972,601.825989,614.495972,419.037018,500
2000-01-25,603.726013,603.726013,596.757996,596.757996,406.940948,2553
2000-01-26,591.056030,596.757996,591.056030,596.757996,406.940948,101
2000-01-27,608.161011,608.161011,598.658020,598.658020,408.236786,718
2000-01-28,589.156006,598.658020,589.156006,598.658020,408.236786,1100
2000-01-31,610.000000,610.000000,610.000000,610.000000,415.971069,0
2000-02-01,591.708984,595.491028,589.156006,589.156006,401.757202,11906
2000-02-02,593.590027,608.065979,589.156006,589.156006,401.757202,5300
2000-02-03,634.000000,634.000000,634.000000,634.000000,432.337189,0
2000-02-04,656.307007,671.356995,636.034973,662.007996,451.436371,963
2000-02-07,668.976990,677.846008,656.307007,677.846008,462.236572,4742
2000-02-08,667.710022,677.846008,667.710022,677.846008,462.236572,30
2000-02-09,658.663025,679.745972,658.663025,679.745972,463.532257,51096
2000-02-10,689.880981,702.812988,668.976990,690.515991,470.876526,16389
2000-02-11,681.646973,690.515991,681.646973,690.515991,470.876526,2000
2000-02-14,680.380005,690.515991,680.380005,690.515991,470.876526,500
2000-02-15,732.000000,732.000000,732.000000,732.000000,499.165192,0
2000-02-16,696.851013,715.856018,696.851013,715.856018,488.156342,500
2000-02-17,698.434998,747.531006,698.434998,747.531006,509.756104,500
2000-02-18,728.526001,750.697998,728.526001,750.697998,511.915924,500
2000-02-21,757.666992,760.200989,757.666992,760.200989,518.396118,500
2000-02-22,794.409973,800.112000,794.409973,800.112000,545.612244,116639
2000-02-23,798.210999,839.388977,788.075012,839.388977,572.396057,116639
2000-02-24,808.346985,848.890991,808.346985,848.890991,578.875793,116639
2000-02-25,861.560974,886.901001,859.026978,886.901001,604.795349,2000
2000-02-28,886.901001,899.570984,880.565979,886.901001,604.795349,2000
2000-02-29,886.901001,893.236023,886.901001,890.068970,606.955688,0
2000-03-01,874.231018,928.078979,874.231018,928.078979,632.875610,2000
2000-03-02,933.146973,937.580994,912.241028,937.580994,639.354919,2000
2000-03-03,1000.000000,1000.000000,1000.000000,1000.000000,681.919800,0
2000-03-06,950.250977,1013.599976,950.250977,1013.599976,691.193909,2000
2000-03-07,969.255981,1013.599976,956.585999,956.585999,652.314941,2000
2000-03-08,984.143005,984.143005,905.906006,905.906006,617.755310,2000
2000-03-09,924.911011,928.078979,896.403992,905.906006,617.755310,2000
2000-03-10,896.403992,902.739014,896.403992,902.739014,615.595642,2000
