Date,Open,High,Low,Close,Adj Close,Volume
2013-11-08,325.000000,355.000000,315.000000,347.000000,329.991821,200027241
2013-11-11,350.000000,350.000000,315.000000,349.500000,332.369232,20964206
2013-11-12,349.750000,351.029999,315.000000,346.000000,329.040802,16452951
2013-11-13,345.250000,348.334991,315.000000,345.000000,328.089844,10212782
2013-11-14,350.000000,355.000000,340.079987,351.750000,334.509033,3801288
2013-11-15,352.000000,355.000000,347.750000,348.500000,331.418274,5816133
2013-11-18,351.000000,351.000000,344.760010,346.000000,329.040802,1457367
2013-11-19,345.000000,347.519989,341.500000,346.500000,329.516296,1518853
2013-11-20,340.000000,347.000000,340.000000,346.000000,329.040802,1506526
2013-11-21,346.250000,347.179993,341.997986,345.250000,328.327576,3053220
2013-11-22,350.000000,350.000000,340.799988,348.000000,330.942780,1203945
2013-11-25,350.000000,353.750000,346.149994,353.250000,335.935486,1309132
2013-11-26,354.000000,354.000000,346.325012,350.500000,333.320251,1444343
2013-11-27,347.250000,353.940002,347.250000,353.000000,335.697723,1655075
2013-11-28,354.000000,355.000000,347.609985,350.500000,333.320251,1175340
2013-11-29,355.000000,355.750000,346.989990,351.500000,334.271210,1387073
2013-12-02,358.000000,359.000000,345.000000,349.750000,332.606995,707521
2013-12-03,354.000000,354.000000,348.690002,353.750000,336.410950,689436
2013-12-04,352.000000,354.769989,348.000000,350.250000,333.082550,701648
2013-12-05,358.000000,358.000000,346.907990,350.000000,332.844757,706548
2013-12-06,348.000000,354.500000,347.250000,350.000000,332.844757,1299100
2013-12-09,350.750000,358.179993,349.070007,353.000000,335.697723,1357484
2013-12-10,354.500000,359.500000,350.000000,352.000000,334.746704,1417320
2013-12-11,358.500000,358.500000,351.000000,352.000000,334.746704,451896
2013-12-12,356.750000,356.750000,351.614990,356.000000,338.550659,811966
2013-12-13,353.250000,356.500000,343.924988,355.000000,337.599701,1171741
2013-12-16,356.000000,358.500000,353.828003,356.000000,338.550659,1077326
2013-12-17,356.250000,357.500000,351.750000,357.000000,339.501648,828659
2013-12-18,356.750000,361.750000,355.230011,358.000000,340.452637,746226
2013-12-19,359.750000,367.500000,356.000000,365.750000,347.822784,1365204
2013-12-20,365.000000,373.500000,360.269989,366.000000,348.060547,18749348
2013-12-23,363.500000,370.092010,350.981995,361.700012,343.971313,887320
