Date,Open,High,Low,Close,Adj Close,Volume
1984-06-01,1.412500,1.425000,1.412500,1.412500,1.385186,7340000
1984-06-04,1.412500,1.425000,1.412500,1.412500,1.385186,4066800
1984-06-05,1.412500,1.412500,1.400000,1.400000,1.372928,2088800
1984-06-06,1.475000,1.500000,1.475000,1.475000,1.446478,1894000
1984-06-07,1.637500,1.650000,1.637500,1.637500,1.605836,2078000
1984-06-08,1.737500,1.762500,1.737500,1.737500,1.703902,2226800
1984-06-11,1.650000,1.650000,1.625000,1.625000,1.593577,1218800
1984-06-12,1.625000,1.625000,1.612500,1.612500,1.581319,670000
1984-06-13,1.687500,1.700000,1.687500,1.687500,1.654869,1338800
1984-06-14,1.662500,1.662500,1.637500,1.637500,1.605836,680000
1984-06-15,1.687500,1.700000,1.687500,1.687500,1.654869,704000
1984-06-18,1.737500,1.750000,1.737500,1.737500,1.703902,480000
1984-06-19,1.862500,1.875000,1.862500,1.862500,1.826485,1580800
1984-06-20,2.062500,2.075000,2.062500,2.062500,2.022617,2272800
1984-06-21,2.062500,2.062500,2.037500,2.037500,1.998101,2038800
1984-06-22,2.262500,2.275000,2.262500,2.262500,2.218750,1198800
1984-06-25,2.250000,2.250000,2.237500,2.237500,2.194233,1578800
1984-06-26,2.300000,2.312500,2.300000,2.300000,2.255525,1040000
1984-06-27,2.250000,2.250000,2.237500,2.237500,2.194233,1046000
1984-06-28,2.350000,2.362500,2.350000,2.350000,2.304558,562800
1984-06-29,2.537500,2.562500,2.537500,2.537500,2.488433,1018800
1984-07-02,2.500000,2.500000,2.475000,2.475000,2.427141,940000
1984-07-03,2.525000,2.550000,2.525000,2.525000,2.476174,338800
1984-07-05,2.650000,2.662500,2.650000,2.650000,2.598757,1428000
1984-07-06,2.637500,2.637500,2.625000,2.625000,2.574240,728000
1984-07-09,2.600000,2.600000,2.575000,2.575000,2.525207,962800
1984-07-10,2.525000,2.525000,2.512500,2.512500,2.463916,1938000
1984-07-11,2.412500,2.412500,2.400000,2.400000,2.353591,980000
1984-07-12,2.337500,2.337500,2.337500,2.337500,2.292300,1020800
1984-07-13,2.362500,2.375000,2.362500,2.362500,2.316816,222800
1984-07-16,2.287500,2.287500,2.262500,2.262500,2.218750,472800
1984-07-17,2.337500,2.350000,2.337500,2.337500,2.292300,350000
1984-07-18,2.337500,2.350000,2.325000,2.325000,2.280041,150000
1984-07-19,2.100000,2.100000,2.087500,2.087500,2.047134,760800
1984-07-20,1.937500,1.937500,1.900000,1.900000,1.863260,722800
1984-07-23,1.962500,1.975000,1.962500,1.962500,1.924551,580000
1984-07-24,1.950000,1.950000,1.925000,1.925000,1.887776,320800
1984-07-25,2.062500,2.087500,2.062500,2.062500,2.022617,648800
1984-07-26,2.150000,2.162500,2.150000,2.150000,2.108426,674000
1984-07-27,2.137500,2.137500,2.125000,2.125000,2.083909,330000
1984-07-30,2.125000,2.137500,2.112500,2.112500,2.071650,156000
1984-07-31,2.112500,2.112500,2.087500,2.087500,2.047134,242000
1984-08-01,2.350000,2.362500,2.350000,2.350000,2.304558,842800
1984-08-02,2.475000,2.487500,2.475000,2.475000,2.427141,756000
