Date,Open,High,Low,Close,Adj Close,Volume
1988-02-29,0.351563,0.375000,0.351563,0.375000,0.242291,15153600
1988-03-01,0.375000,0.375000,0.359375,0.359375,0.232196,3385600
1988-03-02,0.359375,0.367188,0.351563,0.367188,0.237244,1044800
1988-03-03,0.367188,0.367188,0.351563,0.359375,0.232196,6923200
1988-03-04,0.359375,0.367188,0.351563,0.367188,0.237244,521600
1988-03-07,0.367188,0.367188,0.351563,0.351563,0.227148,596800
1988-03-08,0.351563,0.367188,0.351563,0.359375,0.232196,1313600
1988-03-09,0.359375,0.367188,0.351563,0.351563,0.227148,800000
1988-03-10,0.367188,0.390625,0.367188,0.390625,0.252387,2547200
1988-03-11,0.390625,0.390625,0.367188,0.382813,0.247339,444800
1988-03-14,0.382813,0.382813,0.375000,0.375000,0.242291,915200
1988-03-15,0.375000,0.382813,0.367188,0.367188,0.237244,140800
1988-03-16,0.367188,0.375000,0.359375,0.375000,0.242291,337600
1988-03-17,0.367188,0.367188,0.359375,0.367188,0.237244,772800
1988-03-18,0.367188,0.375000,0.359375,0.367188,0.237244,299200
1988-03-21,0.367188,0.367188,0.359375,0.359375,0.232196,504000
1988-03-22,0.359375,0.367188,0.351563,0.359375,0.232196,792000
1988-03-23,0.359375,0.367188,0.343750,0.343750,0.222101,105600
1988-03-24,0.343750,0.367188,0.328125,0.343750,0.222101,291200
1988-03-25,0.343750,0.351563,0.328125,0.351563,0.227148,123200
1988-03-28,0.328125,0.328125,0.328125,0.328125,0.212005,56000
1988-03-29,0.328125,0.367188,0.328125,0.359375,0.232196,6508800
1988-03-30,0.367188,0.375000,0.367188,0.367188,0.237244,25600
1988-03-31,0.367188,0.375000,0.351563,0.375000,0.242291,534400
1988-04-04,0.375000,0.382813,0.367188,0.375000,0.242291,1292800
1988-04-05,0.375000,0.382813,0.367188,0.382813,0.247339,35200
1988-04-06,0.382813,0.382813,0.343750,0.382813,0.247339,4108800
1988-04-07,0.382813,0.390625,0.382813,0.382813,0.247339,112000
1988-04-08,0.382813,0.398438,0.375000,0.390625,0.252387,435200
1988-04-11,0.390625,0.390625,0.390625,0.390625,0.252387,27200
1988-04-12,0.382813,0.382813,0.367188,0.375000,0.242291,307200
1988-04-13,0.375000,0.375000,0.375000,0.375000,0.242291,9600
1988-04-14,0.375000,0.375000,0.359375,0.359375,0.232196,555200
1988-04-15,0.359375,0.367188,0.343750,0.359375,0.232196,486400
1988-04-18,0.351563,0.351563,0.351563,0.351563,0.227148,8000
1988-04-19,0.351563,0.359375,0.351563,0.351563,0.227148,712000
1988-04-20,0.351563,0.351563,0.343750,0.351563,0.227148,896000
1988-04-21,0.351563,0.351563,0.351563,0.351563,0.227148,0
1988-04-22,0.359375,0.359375,0.359375,0.359375,0.232196,6400
1988-04-25,0.359375,0.359375,0.351563,0.359375,0.232196,104000
1988-04-26,0.359375,0.359375,0.343750,0.359375,0.232196,88000
1988-04-27,0.359375,0.367188,0.359375,0.367188,0.237244,115200
1988-04-28,0.367188,0.367188,0.359375,0.367188,0.237244,100800
1988-04-29,0.359375,0.359375,0.351563,0.351563,0.227148,283200
1988-05-02,0.359375,0.367188,0.359375,0.367188,0.237244,456000
1988-05-03,0.367188,0.367188,0.359375,0.367188,0.237244,289600
1988-05-04,0.367188,0.367188,0.359375,0.367188,0.237244,163200
1988-05-05,0.367188,0.367188,0.359375,0.367188,0.237244,240000
1988-05-06,0.367188,0.375000,0.359375,0.375000,0.242291,1899200
1988-05-09,0.375000,0.375000,0.359375,0.375000,0.242291,545600
1988-05-10,0.375000,0.375000,0.351563,0.375000,0.242291,4561600
1988-05-11,0.367188,0.367188,0.367188,0.367188,0.237244,8000
1988-05-12,0.367188,0.367188,0.359375,0.367188,0.237244,65600
1988-05-13,0.367188,0.382813,0.359375,0.359375,0.232196,291200
1988-05-16,0.359375,0.375000,0.359375,0.359375,0.232196,470400
1988-05-17,0.359375,0.367188,0.351563,0.351563,0.227148,868800
1988-05-18,0.351563,0.359375,0.343750,0.351563,0.227148,155200
1988-05-19,0.351563,0.359375,0.343750,0.359375,0.232196,731200
1988-05-20,0.359375,0.359375,0.359375,0.359375,0.232196,323200
1988-05-23,0.359375,0.359375,0.351563,0.351563,0.227148,1480000
1988-05-24,0.351563,0.367188,0.351563,0.359375,0.232196,1520000
1988-05-25,0.359375,0.375000,0.359375,0.367188,0.237244,1867200
