Date,Open,High,Low,Close,Adj Close,Volume
1996-11-18,9.000000,9.000000,8.625000,9.000000,6.416131,81300
1996-11-19,9.000000,9.000000,8.625000,9.000000,6.416131,138100
1996-11-20,9.062500,9.250000,8.500000,9.062500,6.460688,56000
1996-11-21,9.000000,9.125000,8.562500,9.000000,6.416131,91700
1996-11-22,9.125000,9.250000,8.750000,9.125000,6.505244,200100
1996-11-25,9.125000,9.250000,8.750000,9.125000,6.505244,90600
1996-11-26,9.250000,9.250000,8.750000,9.250000,6.594357,76200
1996-11-27,9.250000,9.250000,8.750000,9.250000,6.594357,75000
1996-11-29,9.062500,9.250000,8.750000,9.062500,6.460688,48000
1996-12-02,8.750000,9.250000,8.500000,8.750000,6.237905,130600
1996-12-03,8.875000,9.125000,8.500000,8.875000,6.327019,107000
1996-12-04,9.000000,9.250000,8.500000,9.000000,6.416131,85200
1996-12-05,9.125000,9.250000,8.750000,9.125000,6.505244,142600
1996-12-06,9.250000,9.500000,8.750000,9.250000,6.594357,96900
1996-12-09,9.312500,9.500000,9.000000,9.312500,6.638913,115600
1996-12-10,9.625000,9.750000,9.125000,9.625000,6.861696,156800
1996-12-11,9.375000,9.625000,9.125000,9.375000,6.683470,88900
1996-12-12,9.250000,9.625000,8.875000,9.250000,6.594357,101500
1996-12-13,8.875000,9.375000,8.750000,8.875000,6.327019,83900
1996-12-16,9.250000,9.750000,8.750000,9.250000,6.594357,77100
1996-12-17,9.250000,9.375000,8.875000,9.250000,6.594357,145000
1996-12-18,9.125000,9.375000,8.875000,9.125000,6.505244,116500
1996-12-19,9.125000,9.250000,8.625000,9.125000,6.505244,41800
1996-12-20,9.250000,9.750000,8.875000,9.250000,6.594357,50800
1996-12-23,8.875000,9.500000,8.875000,8.875000,6.327019,33200
1996-12-24,9.250000,9.500000,8.750000,9.250000,6.594357,56600
1996-12-26,9.125000,9.500000,8.750000,9.125000,6.505244,33200
1996-12-27,9.125000,9.250000,8.750000,9.125000,6.505244,26500
1996-12-30,9.125000,9.250000,8.750000,9.125000,6.505244,58000
1996-12-31,9.125000,9.250000,8.625000,9.125000,6.505244,69800
1997-01-02,9.125000,9.250000,8.625000,9.125000,6.505244,44800
1997-01-03,9.000000,9.125000,8.625000,9.000000,6.416131,53400
1997-01-06,8.875000,9.250000,8.750000,8.875000,6.327019,69600
1997-01-07,9.125000,9.250000,8.625000,9.125000,6.505244,38100
1997-01-08,8.625000,9.125000,8.562500,8.625000,6.148791,52000
1997-01-09,8.875000,9.125000,8.500000,8.875000,6.327019,75400
1997-01-10,8.562500,8.875000,8.250000,8.562500,6.104235,63300
1997-01-13,9.000000,9.000000,8.375000,9.000000,6.416131,51500
1997-01-14,8.875000,9.125000,8.375000,8.875000,6.327019,52900
1997-01-15,8.375000,8.875000,8.250000,8.375000,5.970564,41300
1997-01-16,7.875000,8.375000,7.750000,7.875000,5.614114,70900
1997-01-17,7.875000,8.375000,7.875000,7.875000,5.614114,76200
1997-01-20,8.000000,8.250000,7.625000,8.000000,5.703227,70400
1997-01-21,8.125000,8.375000,7.750000,8.125000,5.792340,68400
1997-01-22,8.125000,8.250000,7.750000,8.125000,5.792340,88300
1997-01-23,8.000000,8.250000,7.875000,8.000000,5.703227,72000
1997-01-24,8.375000,8.375000,7.625000,8.375000,5.970564,63000
1997-01-27,8.125000,8.375000,7.625000,8.125000,5.792340,35300
1997-01-28,7.750000,8.250000,7.625000,7.750000,5.525003,51300
1997-01-29,8.000000,8.000000,7.500000,8.000000,5.703227,51200
1997-01-30,8.000000,8.250000,7.625000,8.000000,5.703227,113300
1997-01-31,8.000000,8.375000,7.875000,8.000000,5.703227,74600
1997-02-03,8.500000,8.500000,8.000000,8.500000,6.059678,33400
1997-02-04,8.000000,8.500000,8.000000,8.000000,5.703227,37900
1997-02-05,8.000000,8.500000,7.937500,8.000000,5.703227,29000
1997-02-06,8.000000,8.375000,7.875000,8.000000,5.703227,44500
1997-02-07,8.250000,8.250000,7.750000,8.250000,5.881455,32200
1997-02-10,7.875000,8.375000,7.750000,7.875000,5.614114,50000
1997-02-11,8.250000,8.250000,7.812500,8.250000,5.881455,48600
1997-02-12,8.250000,8.250000,7.875000,8.250000,5.881455,95700
1997-02-13,8.171800,8.250000,7.875000,8.171800,5.825704,38000
1997-02-14,8.375000,8.625000,8.000000,8.375000,5.970564,62100
1997-02-18,8.250000,8.625000,8.000000,8.250000,5.881455,51500
1997-02-19,8.500000,8.500000,7.875000,8.500000,6.059678,39200
1997-02-20,8.375000,8.625000,8.000000,8.375000,5.970564,132900
1997-02-21,8.625000,8.625000,8.250000,8.625000,6.148791,34100
1997-02-24,8.421800,8.875000,8.375000,8.421800,6.003930,29200
1997-02-25,8.375000,8.750000,8.125000,8.375000,5.970564,45200
1997-02-26,8.500000,8.750000,8.250000,8.500000,6.059678,43800
1997-02-27,8.625000,9.000000,8.375000,8.625000,6.148791,38500
1997-02-28,8.875000,8.875000,8.500000,8.875000,6.327019,41900
1997-03-03,8.546800,8.875000,8.500000,8.546800,6.093043,83600
1997-03-04,8.625000,9.000000,8.500000,8.625000,6.148791,43500
1997-03-05,8.500000,8.875000,8.375000,8.500000,6.059678,35200
1997-03-06,8.875000,9.000000,8.546800,8.875000,6.327019,34700
1997-03-07,9.250000,9.250000,8.671800,9.250000,6.594357,72900
1997-03-10,9.000000,9.375000,8.875000,9.000000,6.416131,58900
1997-03-11,9.000000,9.375000,8.875000,9.000000,6.416131,89300
1997-03-12,8.750000,9.000000,8.625000,8.750000,6.237905,20200
1997-03-13,8.750000,9.125000,8.500000,8.750000,6.237905,19400
1997-03-14,8.750000,8.875000,8.375000,8.750000,6.237905,19700
1997-03-17,8.625000,8.875000,8.500000,8.625000,6.148791,25800
1997-03-18,8.750000,9.000000,8.625000,8.750000,6.237905,24700
1997-03-19,8.750000,9.125000,8.625000,8.750000,6.237905,61700
1997-03-20,8.750000,9.125000,8.625000,8.750000,6.237905,69900
1997-03-21,8.625000,8.875000,8.500000,8.625000,6.148791,13500
1997-03-24,8.625000,9.000000,8.500000,8.625000,6.148791,51000
1997-03-25,8.875000,9.125000,8.500000,8.875000,6.377189,81100
1997-03-26,9.000000,9.125000,8.750000,9.000000,6.467009,96700
1997-03-27,8.750000,9.125000,8.671800,8.750000,6.287368,32500
1997-03-31,8.750000,9.125000,8.500000,8.750000,6.287368,27700
1997-04-01,9.000000,9.250000,8.750000,9.000000,6.467009,111200
1997-04-02,8.875000,9.250000,8.750000,8.875000,6.377189,35200
1997-04-03,8.875000,9.250000,8.875000,8.875000,6.377189,41400
1997-04-04,8.875000,9.250000,8.750000,8.875000,6.377189,29500
1997-04-07,9.000000,9.125000,8.625000,9.000000,6.467009,30800
1997-04-08,8.875000,9.125000,8.750000,8.875000,6.377189,69900
1997-04-09,9.000000,9.250000,8.750000,9.000000,6.467009,67500
1997-04-10,9.000000,9.250000,8.750000,9.000000,6.467009,26300
1997-04-11,9.000000,9.375000,8.875000,9.000000,6.467009,48500
1997-04-14,9.000000,9.375000,8.875000,9.000000,6.467009,21300
1997-04-15,8.875000,9.125000,8.750000,8.875000,6.377189,75700
1997-04-16,8.750000,9.125000,8.750000,8.750000,6.287368,84200
1997-04-17,8.671800,9.125000,8.625000,8.671800,6.231177,39200
1997-04-18,8.750000,9.000000,8.671800,8.750000,6.287368,21800
1997-04-21,8.875000,9.125000,8.750000,8.875000,6.377189,39800
1997-04-22,8.750000,9.000000,8.625000,8.750000,6.287368,21100
1997-04-23,8.875000,9.125000,8.671800,8.875000,6.377189,28900
1997-04-24,9.000000,9.125000,8.750000,9.000000,6.467009,141900
1997-04-25,9.000000,9.250000,8.750000,9.000000,6.467009,180600
1997-04-28,8.875000,9.250000,8.750000,8.875000,6.377189,133400
1997-04-29,9.125000,9.250000,8.750000,9.125000,6.556828,159500
1997-04-30,8.937500,9.250000,8.875000,8.937500,6.422098,80200
