Date,Open,High,Low,Close,Adj Close,Volume
2000-06-30,3.828125,4.312500,2.656250,3.031250,2.757213,19108000
2000-07-03,3.062500,3.343750,3.054675,3.250000,2.956187,1930800
2000-07-05,3.312500,3.437500,3.187500,3.281250,2.984612,1640400
2000-07-06,3.359375,3.703125,3.281250,3.687500,3.354136,1689200
2000-07-07,3.718750,3.781250,3.437500,3.468750,3.155162,949600
2000-07-10,3.484375,3.500000,3.343750,3.359375,3.055675,834400
2000-07-11,3.320300,3.320300,2.968750,3.000000,2.728789,1237200
2000-07-12,3.046875,3.218750,3.031250,3.125000,2.842488,490800
2000-07-13,3.187500,3.218750,2.859375,2.875000,2.615089,1202000
2000-07-14,2.843750,2.906250,2.703125,2.734375,2.487177,1261600
2000-07-17,2.671875,2.687500,2.343750,2.375000,2.160291,1452800
2000-07-18,2.398425,2.531250,2.046875,2.062500,1.876042,1511200
2000-07-19,2.093750,2.187500,2.046875,2.078125,1.890254,577200
2000-07-20,2.046875,2.187500,2.046875,2.187500,1.989742,478000
2000-07-21,2.308575,2.468750,2.187500,2.343750,2.131866,1213600
2000-07-24,2.343750,2.343750,2.031250,2.093750,1.904467,557200
2000-07-25,2.031250,2.046875,1.906250,1.929675,1.755225,632400
2000-07-26,1.875000,1.906250,1.625000,1.687500,1.534943,988000
2000-07-27,1.593750,1.687500,1.406250,1.484375,1.350182,712800
2000-07-28,1.500000,1.500000,1.187500,1.468750,1.335969,1780400
2000-07-31,1.402325,1.609375,1.250000,1.515625,1.378607,1295200
2000-08-01,1.593750,1.593750,1.453125,1.500000,1.364394,476000
2000-08-02,1.437500,1.562500,1.390625,1.468750,1.335969,508000
2000-08-03,1.468750,1.476550,1.390625,1.453125,1.321757,358000
2000-08-04,1.500000,1.500000,1.406250,1.453125,1.321757,234000
2000-08-07,1.445300,1.484375,1.390625,1.453125,1.321757,143200
2000-08-08,1.531250,1.546875,1.453125,1.453125,1.321757,300400
2000-08-09,1.453125,1.531250,1.453125,1.500000,1.364394,273200
2000-08-10,1.500000,1.500000,1.437500,1.468750,1.335969,193600
2000-08-11,1.484375,1.484375,1.296875,1.343750,1.222270,196800
2000-08-14,1.375000,1.390625,1.218750,1.250000,1.136995,2551200
2000-08-15,1.242175,1.273425,1.234375,1.250000,1.136995,272800
2000-08-16,1.250000,1.312500,1.234375,1.250000,1.136995,456000
2000-08-17,1.312500,1.453125,1.234375,1.406250,1.279119,367600
2000-08-18,1.343750,1.531250,1.312500,1.531250,1.392819,475600
2000-08-21,1.527325,1.531250,1.437500,1.500000,1.364394,184800
2000-08-22,1.484375,1.609375,1.484375,1.578125,1.435457,627200
2000-08-23,1.562500,1.562500,1.500000,1.531250,1.392819,680000
2000-08-24,1.562500,1.562500,1.453125,1.515625,1.378607,268400
2000-08-25,1.515625,1.812500,1.515625,1.640625,1.492306,530000
2000-08-28,1.664050,1.664050,1.562500,1.625000,1.478094,279600
2000-08-29,1.640625,1.703125,1.640625,1.656250,1.506519,292800
2000-08-30,1.804675,1.875000,1.656250,1.750000,1.591793,780000
2000-08-31,1.734375,1.914050,1.718750,1.906250,1.733917,1102400
2000-09-01,1.890625,1.937500,1.781250,1.875000,1.705493,298800
2000-09-05,1.843750,1.843750,1.718750,1.750000,1.591793,203200
2000-09-06,1.718750,1.750000,1.593750,1.593750,1.449669,205600
2000-09-07,1.625000,1.687500,1.593750,1.656250,1.506519,106000
2000-09-08,1.625000,1.656250,1.562500,1.562500,1.421244,98800
2000-09-11,1.593750,1.718750,1.500000,1.500000,1.364394,248000
2000-09-12,1.562500,1.625000,1.500000,1.593750,1.449669,576000
2000-09-13,1.593750,1.625000,1.500000,1.546875,1.407032,48800
2000-09-14,1.578125,1.656250,1.578125,1.656250,1.506519,177200
2000-09-15,1.648425,1.718750,1.562500,1.625000,1.478094,117600
2000-09-18,1.671875,1.671875,1.562500,1.562500,1.421244,80400
2000-09-19,1.617175,1.781250,1.578125,1.750000,1.591793,204400
