Date,Open,High,Low,Close,Adj Close,Volume
1968-12-31,0.269800,0.269800,0.269800,0.269800,0.266516,0
1969-01-01,null,null,null,null,null,null
1969-01-02,null,null,null,null,null,null
1969-01-03,null,null,null,null,null,null
1969-01-06,null,null,null,null,null,null
1969-01-07,null,null,null,null,null,null
1969-01-08,null,null,null,null,null,null
1969-01-09,null,null,null,null,null,null
1969-01-10,null,null,null,null,null,null
1969-01-13,null,null,null,null,null,null
1969-01-14,null,null,null,null,null,null
1969-01-15,null,null,null,null,null,null
1969-01-16,null,null,null,null,null,null
1969-01-17,null,null,null,null,null,null
1969-01-20,null,null,null,null,null,null
1969-01-21,null,null,null,null,null,null
1969-01-22,null,null,null,null,null,null
1969-01-23,null,null,null,null,null,null
1969-01-24,null,null,null,null,null,null
1969-01-27,null,null,null,null,null,null
1969-01-28,null,null,null,null,null,null
1969-01-29,null,null,null,null,null,null
1969-01-30,null,null,null,null,null,null
1969-01-31,null,null,null,null,null,null
1969-02-03,null,null,null,null,null,null
1969-02-04,null,null,null,null,null,null
1969-02-05,null,null,null,null,null,null
1969-02-06,null,null,null,null,null,null
1969-02-07,null,null,null,null,null,null
1969-02-10,null,null,null,null,null,null
1969-02-11,null,null,null,null,null,null
1969-02-12,null,null,null,null,null,null
1969-02-13,null,null,null,null,null,null
1969-02-14,null,null,null,null,null,null
1969-02-17,null,null,null,null,null,null
1969-02-18,null,null,null,null,null,null
1969-02-19,null,null,null,null,null,null
1969-02-20,null,null,null,null,null,null
1969-02-21,null,null,null,null,null,null
1969-02-24,null,null,null,null,null,null
1969-02-25,null,null,null,null,null,null
1969-02-26,null,null,null,null,null,null
1969-02-27,null,null,null,null,null,null
1969-02-28,null,null,null,null,null,null
1969-03-03,null,null,null,null,null,null
1969-03-04,null,null,null,null,null,null
1969-03-05,null,null,null,null,null,null
1969-03-06,null,null,null,null,null,null
1969-03-07,null,null,null,null,null,null
1969-03-10,null,null,null,null,null,null
1969-03-11,null,null,null,null,null,null
1969-03-12,null,null,null,null,null,null
1969-03-13,null,null,null,null,null,null
1969-03-14,null,null,null,null,null,null
1969-03-17,null,null,null,null,null,null
1969-03-18,null,null,null,null,null,null
1969-03-19,null,null,null,null,null,null
1969-03-20,null,null,null,null,null,null
1969-03-21,null,null,null,null,null,null
1969-03-24,null,null,null,null,null,null
1969-03-25,null,null,null,null,null,null
