Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,24.750000,25.000000,24.687500,25.000000,23.012428,79000
1994-01-04,24.937500,25.000000,24.812500,25.000000,23.012428,127200
1994-01-05,25.875000,26.125000,25.812500,26.062500,23.990456,155200
1994-01-06,25.875000,26.000000,25.812500,25.937500,23.875395,128200
1994-01-07,25.750000,25.937500,25.750000,25.875000,23.817862,252400
1994-01-10,26.187500,26.375000,26.187500,26.312500,24.220575,69400
1994-01-11,25.812500,26.062500,25.812500,25.937500,23.875395,311200
1994-01-12,25.750000,25.875000,25.687500,25.875000,23.817862,124600
1994-01-13,26.062500,26.187500,26.000000,26.125000,24.047985,101200
1994-01-14,26.375000,26.937500,26.375000,26.875000,24.738361,304000
1994-01-17,26.812500,26.812500,26.625000,26.687500,24.565767,407600
1994-01-18,26.625000,26.687500,26.437500,26.625000,24.508230,250000
1994-01-19,26.875000,26.875000,26.625000,26.750000,24.623302,113600
1994-01-20,26.437500,26.687500,26.437500,26.687500,24.565767,406600
1994-01-21,25.750000,25.812500,25.687500,25.750000,23.702797,193200
1994-01-24,25.312500,25.812500,25.250000,25.500000,23.472675,276600
1994-01-25,25.687500,26.000000,25.687500,26.000000,23.932930,109800
1994-01-26,26.375000,26.562500,26.375000,26.500000,24.393177,39400
1994-01-27,26.500000,26.750000,26.500000,26.687500,24.565767,174400
1994-01-28,27.125000,28.250000,27.125000,28.000000,25.773920,944600
1994-01-31,29.437500,29.875000,29.187500,29.750000,27.384787,418000
1994-02-01,29.500000,29.500000,29.125000,29.125000,26.809471,321800
1994-02-02,28.937500,29.312500,28.937500,29.250000,26.924536,199000
1994-02-03,28.750000,28.750000,28.625000,28.750000,26.464293,122600
1994-02-04,28.875000,29.000000,28.500000,28.500000,26.234167,84400
1994-02-07,28.750000,29.187500,28.687500,29.125000,26.809471,252200
1994-02-08,29.062500,29.125000,28.937500,29.000000,26.694418,138800
1994-02-09,28.687500,28.812500,28.687500,28.687500,26.406763,101200
1994-02-10,28.750000,28.937500,28.750000,28.812500,26.521820,55400
1994-02-11,28.812500,28.875000,28.750000,28.750000,26.464293,41600
1994-02-14,28.625000,28.750000,28.187500,28.250000,26.004040,318800
1994-02-15,28.625000,28.812500,28.562500,28.625000,26.349232,141600
1994-02-16,28.125000,28.312500,28.125000,28.187500,25.946510,63600
1994-02-17,27.750000,27.750000,27.562500,27.687500,25.486259,97000
1994-02-18,28.625000,28.875000,28.562500,28.687500,26.406763,107000
1994-02-22,28.750000,29.125000,28.750000,28.937500,26.636887,151000
1994-02-23,29.562500,29.750000,29.562500,29.562500,27.212196,86400
1994-02-24,29.687500,29.687500,29.500000,29.625000,27.269726,64800
1994-02-25,30.187500,30.625000,30.187500,30.500000,28.075163,176800
1994-02-28,30.625000,30.875000,30.625000,30.750000,28.305288,154800
1994-03-01,30.500000,30.500000,30.312500,30.312500,27.902569,107000
1994-03-02,29.750000,29.750000,29.375000,29.500000,27.154663,408600
1994-03-03,29.437500,29.500000,29.250000,29.312500,26.982077,161400
1994-03-04,29.437500,29.625000,29.375000,29.500000,27.154663,29600
1994-03-07,29.625000,29.687500,29.375000,29.437500,27.097136,57400
1994-03-08,29.375000,29.437500,29.312500,29.312500,26.982077,33800
1994-03-09,29.187500,29.187500,28.812500,29.000000,26.694418,113600
1994-03-10,29.250000,29.437500,29.250000,29.437500,27.097136,172400
1994-03-11,29.562500,30.000000,29.562500,29.937500,27.557375,51000
1994-03-14,30.000000,30.000000,29.812500,29.937500,27.557375,65400
1994-03-15,29.875000,30.000000,29.812500,29.875000,27.499847,58600
1994-03-16,29.937500,30.062500,29.937500,30.062500,27.672440,38400
1994-03-17,30.125000,30.187500,30.062500,30.125000,27.729973,10800
1994-03-18,29.812500,29.812500,29.187500,29.187500,26.867004,218000
1994-03-21,29.187500,29.187500,29.125000,29.125000,26.809471,211600
1994-03-22,29.000000,29.000000,28.812500,28.875000,26.579350,41800
1994-03-23,28.750000,28.875000,28.562500,28.812500,26.521820,381200
1994-03-24,28.687500,28.937500,28.687500,28.875000,26.688194,44000
1994-03-25,29.000000,29.062500,28.750000,28.750000,26.572659,136400
1994-03-28,29.375000,29.437500,29.312500,29.375000,27.150318,161400
1994-03-29,29.312500,29.500000,29.312500,29.375000,27.150318,58800
1994-03-30,29.125000,29.125000,28.750000,28.750000,26.572659,148800
1994-03-31,28.375000,28.437500,28.062500,28.187500,26.052755,73400
1994-04-04,27.875000,28.062500,27.750000,27.812500,25.706152,99400
1994-04-05,28.750000,29.062500,28.750000,29.062500,26.861490,151000
1994-04-06,28.750000,28.750000,28.375000,28.562500,26.399353,93800
1994-04-07,28.625000,28.875000,28.625000,28.875000,26.688194,17800
1994-04-08,28.625000,28.625000,28.375000,28.437500,26.283823,19600
1994-04-11,28.375000,28.500000,28.375000,28.500000,26.341587,35600
1994-04-12,28.375000,28.500000,28.375000,28.500000,26.341587,57400
1994-04-13,28.625000,28.875000,28.625000,28.625000,26.457125,128200
1994-04-14,28.687500,28.687500,28.562500,28.625000,26.457125,11400
1994-04-15,28.687500,28.875000,28.625000,28.625000,26.457125,42600
1994-04-18,28.750000,28.937500,28.750000,28.812500,26.630424,21400
1994-04-19,28.875000,29.062500,28.875000,28.937500,26.745956,39200
1994-04-20,28.812500,28.937500,28.750000,28.812500,26.630424,17600
1994-04-21,28.687500,28.687500,28.562500,28.687500,26.514891,10800
1994-04-22,28.625000,28.625000,28.250000,28.437500,26.283823,66600
1994-04-25,28.375000,28.625000,28.312500,28.625000,26.457125,55400
1994-04-26,28.500000,28.562500,28.437500,28.437500,26.283823,303000
1994-04-28,28.187500,28.187500,28.062500,28.125000,25.994987,57000
1994-04-29,28.062500,28.125000,27.937500,27.937500,25.821690,23400
1994-05-02,27.875000,28.000000,27.812500,27.875000,25.763926,139200
1994-05-03,27.875000,27.937500,27.875000,27.875000,25.763926,21000
1994-05-04,27.812500,27.937500,27.812500,27.812500,25.706152,58400
1994-05-05,27.750000,27.812500,27.625000,27.625000,25.532858,61400
1994-05-06,27.562500,27.625000,27.562500,27.625000,25.532858,54600
1994-05-09,27.375000,27.375000,27.125000,27.125000,25.070724,41600
1994-05-10,27.250000,27.312500,27.187500,27.250000,25.186255,58000
1994-05-11,28.062500,28.125000,27.937500,28.000000,25.879457,22600
1994-05-12,27.937500,28.000000,27.875000,27.875000,25.763926,5000
1994-05-13,28.000000,28.250000,28.000000,28.187500,26.052755,55200
1994-05-16,28.187500,28.312500,28.187500,28.312500,26.168293,32000
1994-05-17,28.375000,28.750000,28.375000,28.625000,26.457125,45000
1994-05-18,28.500000,28.687500,28.500000,28.687500,26.514891,26200
