Date,Open,High,Low,Close,Adj Close,Volume
1984-09-07,6.083333,6.083333,6.041667,6.041667,5.796460,11400
1984-09-10,6.041667,6.083333,5.833333,5.833333,5.596581,7400
1984-09-11,5.833333,5.916667,5.791667,5.875000,5.636556,27000
1984-09-12,5.791667,5.791667,5.583333,5.666667,5.436679,7800
1984-09-13,5.666667,5.666667,5.583333,5.666667,5.436679,10400
1984-09-14,5.708333,5.791667,5.708333,5.791667,5.556605,10800
1984-09-17,5.750000,5.750000,5.666667,5.666667,5.436679,1200
1984-09-18,5.625000,5.625000,5.541667,5.541667,5.316752,10400
1984-09-19,5.541667,5.625000,5.541667,5.541667,5.316752,15200
1984-09-20,5.541667,5.583333,5.541667,5.583333,5.356728,10800
1984-09-21,5.583333,5.708333,5.541667,5.541667,5.316752,9600
1984-09-24,5.500000,5.500000,5.333333,5.333333,5.116874,22400
1984-09-25,5.291667,5.291667,5.166667,5.166667,4.956971,40800
1984-09-26,5.166667,5.166667,5.000000,5.000000,4.797070,14000
1984-09-27,5.000000,5.000000,4.916667,4.958333,4.757093,6800
1984-09-28,4.958333,5.041667,4.958333,5.041667,4.837045,3600
1984-10-01,5.041667,5.041667,5.041667,5.041667,4.837045,2400
1984-10-02,5.000000,5.000000,5.000000,5.000000,4.797070,3800
1984-10-03,5.000000,5.041667,4.916667,5.000000,4.797070,35400
1984-10-04,4.333333,4.333333,3.958333,4.000000,3.837656,156600
1984-10-05,4.000000,4.083333,3.875000,4.041667,3.877631,120000
1984-10-08,4.041667,4.041667,3.958333,4.000000,3.837656,64200
1984-10-09,4.041667,4.125000,4.041667,4.125000,3.957582,79800
1984-10-10,4.125000,4.250000,4.083333,4.166667,3.997558,47000
1984-10-11,4.166667,4.208333,4.083333,4.166667,3.997558,6600
1984-10-12,4.166667,4.250000,4.166667,4.166667,3.997558,19400
1984-10-15,4.208333,4.333333,4.208333,4.250000,4.077509,215400
1984-10-16,4.166667,4.166667,4.125000,4.166667,3.997558,6600
1984-10-17,4.125000,4.125000,4.083333,4.083333,3.917608,3800
1984-10-18,4.083333,4.083333,4.083333,4.083333,3.917608,5400
1984-10-19,4.125000,4.208333,4.125000,4.166667,3.997558,87800
1984-10-22,4.250000,4.250000,4.250000,4.250000,4.077509,200
1984-10-23,4.166667,4.166667,4.166667,4.166667,3.997558,800
1984-10-24,4.166667,4.166667,4.125000,4.166667,3.997558,30600
1984-10-25,4.166667,4.166667,4.083333,4.083333,3.917608,14600
1984-10-26,4.083333,4.166667,4.083333,4.125000,3.957582,32000
1984-10-29,4.125000,4.125000,4.000000,4.125000,3.957582,15600
1984-10-30,4.125000,4.125000,4.083333,4.083333,3.917608,14000
1984-10-31,4.041667,4.041667,4.041667,4.041667,3.877631,6000
1984-11-01,4.041667,4.083333,4.041667,4.041667,3.877631,8400
1984-11-02,4.083333,4.125000,4.083333,4.125000,3.957582,6000
1984-11-05,4.125000,4.166667,4.125000,4.166667,3.997558,7400
1984-11-06,4.250000,4.375000,4.250000,4.375000,4.197436,43200
1984-11-07,4.375000,4.500000,4.333333,4.500000,4.317363,100800
1984-11-08,4.500000,4.583333,4.458333,4.458333,4.277388,8600
1984-11-09,4.458333,4.541667,4.458333,4.541667,4.357339,6000
1984-11-12,4.541667,4.541667,4.500000,4.541667,4.357339,4800
1984-11-13,4.541667,4.541667,4.416667,4.416667,4.237411,11400
1984-11-14,4.416667,4.416667,4.416667,4.416667,4.237411,0
1984-11-15,4.416667,4.416667,4.416667,4.416667,4.237411,6200
1984-11-16,4.458333,4.458333,4.458333,4.458333,4.277388,800
1984-11-19,4.375000,4.375000,4.291667,4.291667,4.117485,1400
1984-11-20,4.208333,4.208333,4.125000,4.125000,3.957582,75800
1984-11-21,4.041667,4.041667,4.000000,4.041667,3.877631,3200
1984-11-23,4.000000,4.000000,3.833333,4.000000,3.837656,43200
1984-11-26,4.000000,4.000000,3.958333,3.958333,3.797680,137600
1984-11-27,3.916667,3.916667,3.416667,3.583333,3.437900,207600
1984-11-28,3.500000,3.500000,3.375000,3.375000,3.238022,232800
1984-11-29,3.375000,3.375000,3.208333,3.208333,3.078119,213600
1984-11-30,3.208333,3.333333,3.166667,3.333333,3.198046,60800
1984-12-03,3.333333,3.583333,3.333333,3.583333,3.437900,57000
1984-12-04,3.500000,3.500000,3.333333,3.375000,3.238022,97200
1984-12-05,3.375000,3.416667,3.333333,3.333333,3.198046,127200
1984-12-06,3.333333,3.416667,3.333333,3.375000,3.238022,7800
1984-12-07,3.333333,3.333333,3.333333,3.333333,3.198046,6000
1984-12-10,3.333333,3.333333,3.333333,3.333333,3.198046,16800
1984-12-11,3.333333,3.375000,3.250000,3.375000,3.238022,23000
1984-12-12,3.375000,3.375000,3.250000,3.375000,3.238022,29600
1984-12-13,3.375000,3.375000,3.250000,3.333333,3.198046,107400
1984-12-14,3.333333,3.333333,3.291667,3.333333,3.198046,34400
1984-12-17,3.333333,3.375000,3.250000,3.375000,3.238022,12000
1984-12-18,3.375000,3.500000,3.333333,3.500000,3.357949,16400
1984-12-19,3.583333,3.666667,3.583333,3.666667,3.517851,31200
1984-12-20,3.666667,3.666667,3.541667,3.541667,3.397925,42000
1984-12-21,3.500000,3.500000,3.416667,3.416667,3.277997,12000
