Date,Open,High,Low,Close,Adj Close,Volume
1999-03-30,1.609375,1.613281,1.585938,1.585938,1.473354,254400
1999-03-31,1.640625,1.640625,1.585938,1.597656,1.484241,742400
1999-04-01,1.601563,1.601563,1.593750,1.601563,1.487870,267200
1999-04-05,1.597656,1.625000,1.593750,1.621094,1.506015,1814400
1999-04-06,1.617188,1.632813,1.617188,1.625000,1.509643,174400
1999-04-07,1.632813,1.671875,1.625000,1.656250,1.538675,1955200
1999-04-08,1.671875,1.687500,1.656250,1.687500,1.567707,921600
1999-04-09,1.687500,1.687500,1.664063,1.664063,1.545933,6400
1999-04-12,1.679688,1.679688,1.628906,1.628906,1.513272,958400
1999-04-13,1.679688,1.734375,1.625000,1.656250,1.538675,1518400
1999-04-14,1.593750,1.601563,1.578125,1.593750,1.480612,376000
1999-04-15,1.593750,1.593750,1.593750,1.593750,1.480612,228800
1999-04-16,1.593750,1.609375,1.593750,1.593750,1.480612,1916800
1999-04-19,1.609375,1.625000,1.593750,1.593750,1.480612,75200
1999-04-20,1.625000,1.625000,1.625000,1.625000,1.509643,169600
1999-04-21,1.656250,1.718750,1.625000,1.703125,1.582223,57600
1999-04-22,1.703125,1.789063,1.703125,1.789063,1.662059,4408000
1999-04-23,1.812500,1.875000,1.812500,1.820313,1.691091,321600
1999-04-26,1.820313,1.828125,1.773438,1.773438,1.647544,352000
1999-04-27,1.812500,1.812500,1.750000,1.750000,1.625770,14400
1999-04-28,1.750000,1.765625,1.718750,1.742188,1.618512,86400
1999-04-29,1.726563,1.734375,1.726563,1.726563,1.603996,467200
1999-04-30,1.734375,1.742188,1.718750,1.718750,1.596738,62400
1999-05-03,1.750000,1.773438,1.718750,1.757813,1.633028,2300800
1999-05-04,1.757813,1.781250,1.757813,1.765625,1.640286,1761600
1999-05-05,1.742188,1.781250,1.742188,1.761719,1.636657,1496000
1999-05-06,1.796875,1.796875,1.753906,1.753906,1.629399,560000
1999-05-07,1.750000,1.775388,1.750000,1.750000,1.625770,1236800
1999-05-10,1.765625,1.765625,1.750000,1.757813,1.633028,40000
1999-05-11,1.750000,1.765625,1.750000,1.753906,1.629399,179200
1999-05-12,1.750000,1.855469,1.750000,1.847656,1.716493,448000
1999-05-13,1.828125,1.855469,1.828125,1.843750,1.712865,307200
1999-05-14,1.855469,1.855469,1.832031,1.832031,1.701978,195200
1999-05-17,1.828125,1.849606,1.812500,1.828125,1.698349,142400
1999-05-18,1.820313,1.820313,1.785156,1.794919,1.667500,28800
1999-05-19,1.816406,1.820313,1.789063,1.820313,1.691091,148800
1999-05-20,1.812500,1.820313,1.812500,1.820313,1.691091,369600
1999-05-21,1.828125,1.828125,1.789063,1.804688,1.676575,403200
1999-05-24,1.804688,1.812500,1.796875,1.807613,1.679292,192000
1999-05-25,1.804688,1.804688,1.789063,1.804688,1.676575,1446400
1999-05-26,1.789063,1.792969,1.781250,1.792969,1.665688,16000
1999-05-27,1.796875,1.804688,1.781250,1.782225,1.655707,248000
1999-05-28,1.789063,1.875000,1.769531,1.859375,1.727381,614400
1999-06-01,1.859375,1.859375,1.781250,1.781250,1.654801,174400
1999-06-02,1.718750,1.726563,1.625000,1.625000,1.509643,2300800
1999-06-03,1.644531,1.734375,1.644531,1.734375,1.611254,1248000
1999-06-04,1.734375,1.906250,1.726563,1.851563,1.720123,809600
1999-06-07,1.851563,1.851563,1.734375,1.734375,1.611254,576000
1999-06-08,1.781250,1.796875,1.734375,1.779294,1.652984,257600
1999-06-09,1.734375,1.812500,1.718750,1.734375,1.611254,131200
1999-06-10,1.750000,1.781250,1.732419,1.734375,1.611254,190400
1999-06-11,1.736325,1.753906,1.710938,1.710938,1.589481,105600
1999-06-14,1.714844,1.714844,1.714844,1.714844,1.593109,11200
1999-06-15,1.703125,1.710938,1.656250,1.683594,1.564078,262400
1999-06-16,1.718750,1.734375,1.718750,1.734375,1.611254,32000
1999-06-17,1.687500,1.718750,1.667969,1.679688,1.560449,563200
1999-06-18,1.687500,1.701169,1.675781,1.685544,1.565889,115200
1999-06-21,1.691406,1.718750,1.656250,1.718750,1.596738,337600
1999-06-22,1.679688,1.707031,1.671875,1.687500,1.567707,203200
1999-06-23,1.679688,1.679688,1.562500,1.601563,1.487870,110400
1999-06-24,1.593750,1.625000,1.562500,1.617188,1.502385,1500800
1999-06-25,1.601563,1.656250,1.585938,1.617188,1.502385,35200
1999-06-28,1.625000,1.687500,1.625000,1.679688,1.560449,134400
1999-06-29,1.691406,1.726563,1.640625,1.683594,1.564078,662400
1999-06-30,1.718750,1.789063,1.687500,1.707031,1.585851,1782400
1999-07-01,1.742188,1.742188,1.621094,1.648438,1.531417,641600
1999-07-02,1.656250,1.671875,1.617188,1.617188,1.502385,1803200
1999-07-06,1.640625,1.640625,1.609375,1.609375,1.495127,233600
1999-07-07,1.605469,1.617188,1.492188,1.492188,1.386259,548800
1999-07-08,1.554688,1.554688,1.484375,1.484375,1.379001,3403200
1999-07-09,1.496094,1.500000,1.437500,1.468750,1.364486,1052800
1999-07-12,1.484375,1.484375,1.390625,1.414063,1.313680,750400
1999-07-13,1.406250,1.406250,1.281250,1.371094,1.273762,1942400
1999-07-14,1.375000,1.570313,1.371094,1.523438,1.415291,2065600
1999-07-15,1.539063,1.671875,1.527344,1.652344,1.535046,1000000
1999-07-16,1.664063,1.742188,1.648438,1.660156,1.542304,588800
1999-07-19,1.695313,1.750000,1.628906,1.640625,1.524159,1008000
1999-07-20,1.640625,1.656250,1.632813,1.656250,1.538675,625600
1999-07-21,1.656250,1.656250,1.636719,1.648438,1.531417,217600
1999-07-22,1.636719,1.640625,1.187500,1.187500,1.103201,7982400
1999-07-23,1.257813,1.273438,1.210938,1.218750,1.132233,4864000
1999-07-26,1.234375,1.234375,1.097656,1.210938,1.124975,2620800
1999-07-27,1.222656,1.222656,1.156250,1.179688,1.095943,4875200
1999-07-28,1.218750,1.226563,1.171875,1.199219,1.114088,1468800
1999-07-29,1.207031,1.226563,1.179688,1.210938,1.124975,3121600
1999-07-30,1.226563,1.226563,1.214844,1.218750,1.132233,640000
1999-08-02,1.222656,1.222656,1.210938,1.218750,1.132233,777600
1999-08-03,1.222656,1.222656,1.203125,1.203125,1.117717,1310400
1999-08-04,1.195313,1.195313,1.125000,1.152344,1.070540,1766400
